"","iid","id","gender","wave","order","partner","pid","match","samerace","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sportsAct","tvsportsAct","exerciseAct","diningAct","museumsAct","artAct","hikingAct","gamingAct","clubbingAct","readingAct","tvAct","theaterAct","moviesAct","concertsAct","musicAct","shoppingAct","yogaAct","exphappy","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","dec","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","prob","met"
"1",1,1,0,1,4,1,11,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2
"2",1,1,0,1,3,2,12,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,7,8,7,8,5,6,7,5,1
"3",1,1,0,1,10,3,13,1,1,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,5,8,9,8,5,7,7,5,1
"4",1,1,0,1,5,4,14,1,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,7,6,8,7,6,8,7,6,2
"5",1,1,0,1,7,5,15,1,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,5,6,7,7,6,6,6,6,2
"6",1,1,0,1,6,6,16,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,0,4,9,7,4,6,4,6,5,2
"7",1,1,0,1,1,7,17,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,7,6,7,4,6,7,6,5,2
"8",1,1,0,1,2,8,18,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,0,4,9,7,6,5,6,6,7,0
"9",1,1,0,1,8,9,19,1,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,7,6,8,9,8,8,7,7,2
"10",1,1,0,1,9,10,20,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,5,6,6,8,10,8,6,6,2
"11",2,2,0,1,10,1,11,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2
"12",2,2,0,1,9,2,12,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,8,5,6,6,9,6,7,3,2
"13",2,2,0,1,6,3,13,0,0,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,5,8,9,6,3,4,6,7,2
"14",2,2,0,1,1,4,14,1,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,1,7,9,7,6,5,7,7,8,2
"15",2,2,0,1,3,5,15,0,0,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,6,8,7,9,7,8,8,6,1
"16",2,2,0,1,2,6,16,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,8,7,8,3,6,2,6,5,2
"17",2,2,0,1,7,7,17,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,1,7,5,9,6,7,9,8,7,2
"18",2,2,0,1,8,8,18,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,5,8,7,5,9,5,5,6,2
"19",2,2,0,1,4,9,19,1,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,1,7,6,8,9,4,5,5,6,2
"20",2,2,0,1,5,10,20,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,1,6,7,8,7,9,8,8,7,2
"21",3,3,0,1,6,1,11,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,7,9,10,7,8,9,8,7,1
"22",3,3,0,1,5,2,12,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,9,7,9,8,9,7,8,7,2
"23",3,3,0,1,2,3,13,0,0,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,7,9,9,7,9,7,8,7,2
"24",3,3,0,1,7,4,14,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,9,7,9,7,9,7,8,7,2
"25",3,3,0,1,9,5,15,0,0,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,9,10,10,10,10,10,9,5,2
"26",3,3,0,1,8,6,16,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,8,10,10,7,9,9,8,5,2
"27",3,3,0,1,3,7,17,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,8,9,10,7,7,9,8,7,2
"28",3,3,0,1,4,8,18,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,7,9,9,8,9,7,8,7,2
"29",3,3,0,1,10,9,19,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,9,9,9,9,9,9,9,7,2
"30",3,3,0,1,1,10,20,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,8,7,9,7,9,7,8,7,2
"31",4,4,0,1,3,1,11,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,4,10,8,5,8,7,6,7,2
"32",4,4,0,1,2,2,12,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,8,7,8,10,7,8,8,1,1
"33",4,4,0,1,9,3,13,0,0,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,4,7,8,8,6,7,4,1,2
"34",4,4,0,1,4,4,14,1,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,1,8,10,7,10,7,10,8,10,1
"35",4,4,0,1,6,5,15,0,0,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,6,9,8,9,8,9,7,7,2
"36",4,4,0,1,5,6,16,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,5,10,8,4,8,2,4,3,2
"37",4,4,0,1,10,7,17,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,7,10,10,7,10,5,5,1,2
"38",4,4,0,1,1,8,18,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,5,9,9,5,9,7,6,6,2
"39",4,4,0,1,7,9,19,1,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,1,9,8,10,10,7,8,8,8,2
"40",4,4,0,1,8,10,20,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,1,8,9,10,10,8,8,10,8,2
"41",5,5,0,1,1,1,11,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,0,5,8,8,2,2,2,7,5,2
"42",5,5,0,1,10,2,12,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,0,8,6,6,5,5,5,6,4,1
"43",5,5,0,1,7,3,13,0,0,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,0,4,6,8,8,6,5,6,5,1
"44",5,5,0,1,2,4,14,1,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,1,8,5,5,7,7,9,8,2,1
"45",5,5,0,1,4,5,15,0,0,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,0,6,7,7,5,4,8,7,4,2
