"","X.1","X","iid_W","id_W","wave_W","partner_W","pid_W","samerace_W","match","gender_W","order_W","age_W","tuition_W","race_W","imprace_W","imprelig_W","income_W","goal_W","date_W","go_out_W","sportsAct_W","tvsportsAct_W","exerciseAct_W","diningAct_W","museumsAct_W","artAct_W","hikingAct_W","gamingAct_W","clubbingAct_W","readingAct_W","tvAct_W","theaterAct_W","moviesAct_W","concertsAct_W","musicAct_W","shoppingAct_W","yogaAct_W","exphappy_W","attrPref_W","sincPref_W","intelPref_W","funPref_W","ambPref_W","sharPref_W","dec_W","attrRating_W_of_M","sincRating_W_of_M","intelRating_W_of_M","funRating_W_of_M","ambRating_W_of_M","sharRating_W_of_M","likeRating_W_of_M","prob_W","met_W","goalMeetNew_W","goalFunNight_W","goalOther_W","goalGetDate_W","goalSeriousRel_W","goalSayDid_W","date7_W","date5_W","date3_W","date4_W","date6_W","date1_W","date2_W","raceAsian_W","raceWhite_W","rateOther_W","raceLatino_W","raceBlack_W","go_out1_W","go_out4_W","go_out2_W","go_out3_W","go_out7_W","go_out5_W","go_out6_W","fieldLaw_W","fieldMath_W","fieldPoliSci_W","fieldBusiness_W","fieldEngin_W","fieldAcademia_W","fieldSocialSci_W","fieldSocialWork_W","fieldUndecided_W","fieldMedicine_W","fieldHistReligPhil_W","fieldEnglish_W","fieldScience_W","fieldFilm_W","fieldLanguages_W","fieldArts_W","fieldArch_W","fieldOther_W","careerCreative_W","careerLaw_W","careerInternational_W","careerAcademic_W","careerFinance_W","careerUndecided_W","careerEngineer_W","careerPsychology_W","careerMedicine_W","careerSports_W","careerSocialWork_W","careerRealEstate_W","careerOther_W","careerSpeech_W","careerArch_W","careerPolitics_W","careerJourn_W","activityAvg_W","raterDecSum_W","decSum_W","attrRatingAvg_W_of_M","sincRatingAvg_W_of_M","intelRatingAvg_W_of_M","funRatingAvg_W_of_M","ambRatingAvg_W_of_M","sharRatingAvg_W_of_M","likeRatingAvg_W_of_M","decAvg_W_of_M","raterDecAvg_W","attrRatingGuess_W_of_M","sincRatingGuess_W_of_M","intelRatingGuess_W_of_M","funRatingGuess_W_of_M","ambRatingGuess_W_of_M","sharRatingGuess_W_of_M","likeRatingGuess_W_of_M","gender_M","order_M","age_M","tuition_M","race_M","imprace_M","imprelig_M","income_M","goal_M","date_M","go_out_M","sportsAct_M","tvsportsAct_M","exerciseAct_M","diningAct_M","museumsAct_M","artAct_M","hikingAct_M","gamingAct_M","clubbingAct_M","readingAct_M","tvAct_M","theaterAct_M","moviesAct_M","concertsAct_M","musicAct_M","shoppingAct_M","yogaAct_M","exphappy_M","attrPref_M","sincPref_M","intelPref_M","funPref_M","ambPref_M","sharPref_M","dec_M","attrRating_M_of_W","sincRating_M_of_W","intelRating_M_of_W","funRating_M_of_W","ambRating_M_of_W","sharRating_M_of_W","likeRating_M_of_W","prob_M","met_M","goalMeetNew_M","goalFunNight_M","goalOther_M","goalGetDate_M","goalSeriousRel_M","goalSayDid_M","date7_M","date5_M","date3_M","date4_M","date6_M","date1_M","date2_M","raceAsian_M","raceWhite_M","rateOther_M","raceLatino_M","raceBlack_M","go_out1_M","go_out4_M","go_out2_M","go_out3_M","go_out7_M","go_out5_M","go_out6_M","fieldLaw_M","fieldMath_M","fieldPoliSci_M","fieldBusiness_M","fieldEngin_M","fieldAcademia_M","fieldSocialSci_M","fieldSocialWork_M","fieldUndecided_M","fieldMedicine_M","fieldHistReligPhil_M","fieldEnglish_M","fieldScience_M","fieldFilm_M","fieldLanguages_M","fieldArts_M","fieldArch_M","fieldOther_M","careerCreative_M","careerLaw_M","careerInternational_M","careerAcademic_M","careerFinance_M","careerUndecided_M","careerEngineer_M","careerPsychology_M","careerMedicine_M","careerSports_M","careerSocialWork_M","careerRealEstate_M","careerOther_M","careerSpeech_M","careerArch_M","careerPolitics_M","careerJourn_M","activityAvg_M","raterDecSum_M","decSum_M","attrRatingAvg_M_of_W","sincRatingAvg_M_of_W","intelRatingAvg_M_of_W","funRatingAvg_M_of_W","ambRatingAvg_M_of_W","sharRatingAvg_M_of_W","likeRatingAvg_M_of_W","decAvg_M_of_W","raterDecAvg_M","attrRatingGuess_M_of_W","sincRatingGuess_M_of_W","intelRatingGuess_M_of_W","funRatingGuess_M_of_W","ambRatingGuess_M_of_W","sharRatingGuess_M_of_W","likeRatingGuess_M_of_W","raceAsian_M_Cross_raceAsian_W","raceAsian_M_Cross_raceWhite_W","raceAsian_M_Cross_raceLatino_W","raceAsian_M_Cross_raceBlack_W","raceWhite_M_Cross_raceAsian_W","raceWhite_M_Cross_raceWhite_W","raceWhite_M_Cross_raceLatino_W","raceWhite_M_Cross_raceBlack_W","raceLatino_M_Cross_raceAsian_W","raceLatino_M_Cross_raceWhite_W","raceBlack_M_Cross_raceAsian_W","raceBlack_M_Cross_raceWhite_W","careerCreative_M_Cross_careerInternational_W","careerCreative_M_Cross_careerAcademic_W","careerCreative_M_Cross_careerFinance_W","careerLaw_M_Cross_careerCreative_W","careerLaw_M_Cross_careerLaw_W","careerLaw_M_Cross_careerInternational_W","careerLaw_M_Cross_careerAcademic_W","careerLaw_M_Cross_careerFinance_W","careerFinance_M_Cross_careerCreative_W","careerFinance_M_Cross_careerLaw_W","careerFinance_M_Cross_careerInternational_W","careerFinance_M_Cross_careerAcademic_W","careerFinance_M_Cross_careerFinance_W","careerFinance_M_Cross_careerUndecided_W","careerFinance_M_Cross_careerPsychology_W","careerFinance_M_Cross_careerMedicine_W","careerFinance_M_Cross_careerSocialWork_W","careerUndecided_M_Cross_careerAcademic_W","careerMedicine_M_Cross_careerAcademic_W","fieldLaw_M_Cross_fieldLaw_W","fieldLaw_M_Cross_fieldAcademia_W","fieldLaw_M_Cross_fieldSocialSci_W","fieldLaw_M_Cross_fieldSocialWork_W","fieldPoliSci_M_Cross_fieldPoliSci_W","fieldPoliSci_M_Cross_fieldBusiness_W","fieldPoliSci_M_Cross_fieldAcademia_W","fieldPoliSci_M_Cross_fieldScience_W","fieldBusiness_M_Cross_fieldLaw_W","fieldBusiness_M_Cross_fieldPoliSci_W","fieldBusiness_M_Cross_fieldBusiness_W","fieldBusiness_M_Cross_fieldEngin_W","fieldBusiness_M_Cross_fieldAcademia_W","fieldBusiness_M_Cross_fieldSocialSci_W","fieldBusiness_M_Cross_fieldSocialWork_W","fieldBusiness_M_Cross_fieldEnglish_W","fieldBusiness_M_Cross_fieldScience_W","fieldBusiness_M_Cross_fieldLanguages_W","fieldEngin_M_Cross_fieldEngin_W","fieldEngin_M_Cross_fieldAcademia_W","fieldEngin_M_Cross_fieldSocialSci_W","fieldEngin_M_Cross_fieldSocialWork_W","fieldEngin_M_Cross_fieldEnglish_W","fieldEngin_M_Cross_fieldScience_W","fieldEngin_M_Cross_fieldLanguages_W","fieldScience_M_Cross_fieldPoliSci_W","fieldScience_M_Cross_fieldBusiness_W","fieldScience_M_Cross_fieldHistReligPhil_W","fieldScience_M_Cross_fieldScience_W"
"707",707,707,21,1,2,1,40,1,0,0,6,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,6,8,7,9,5,7,9,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,4,4,6.55555555555556,6.44444444444444,5.77777777777778,6.11111111111111,4.94444444444444,5.05555555555556,0.222222222222222,0.133333333333333,4.12537021303684,7.47225046633194,9.97153987537848,8.16637911033642,7.61563034292059,5.84847506882294,10,1,8,25,25,4,9,6,42,2,7,7,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,25,20,25,20,10,0,0,3,10,10,6,4,7,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35294117647059,0,3,5.2,7.13333333333333,7.6,5.73333333333333,6.86666666666667,5,6,0.2,0,4.53961098605582,6.91204124727295,6.1740076389911,4.7373409604793,6.66884187378049,4.22713696008166,5.61556136638218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708",708,708,21,1,2,10,49,1,0,0,3,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,1,9,9,10,9,9,8,9,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,8,6.16666666666667,6.94444444444444,7.33333333333333,6.86111111111111,6.94444444444444,5.83333333333333,6.27777777777778,0.388888888888889,0.0666666666666667,4.42826785057528,10,9.4181207596718,0,3.3582681891383,5.10942721650594,10,1,4,25,25,4,1,3,62,1,3,2,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,6,20,20,20,20,5,15,0,6,7,8,4,6,4,6,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.23529411764706,14,3,5,7.33333333333333,7.73333333333333,5.86666666666667,6.73333333333333,5.2,5.86666666666667,0.2,0.777777777777778,5.14446036667936,10,7.0469343279375,5.68604074399699,5.62040741880728,4.19754585693709,5.66555117787826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709",709,709,21,1,2,11,50,0,0,0,4,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,5,7,7,7,7,6,6,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,11,6.38888888888889,6.55555555555556,7.38888888888889,7.66666666666667,7.66666666666667,5.88888888888889,6.5,0.611111111111111,0.133333333333333,8.45007789622957,7.11787304193815,5.76662906300128,5.94384595979489,4.30732344169047,10,0.696462022129349,1,6,27,25,1,4,4,12,6,6,2,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,5,35,10,20,15,10,10,0,5,8,8,7,7,6,7,7,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47058823529412,9,3,5.06666666666667,7.26666666666667,7.73333333333333,5.66666666666667,6.66666666666667,5.06666666666667,5.8,0.2,0.5,4.6313978918726,6.582609567217,6.66337677692763,4.22915544961527,2.37063243342973,2.3947176865844,4.86617964371049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"710",710,710,21,1,2,12,51,0,0,0,13,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,7,4,6,4,4,2,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,5,5.27777777777778,4.91666666666667,6.5,4.22222222222222,6.19444444444444,4.66666666666667,4.75,0.277777777777778,0.133333333333333,0,4.62856562783148,5.33717742983568,3.32342851535025,3.0416673912407,10,5.77482249707722,1,16,23,25,2,5,10,29,1,5,3,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3,25,10,35,15,0,15,0,2,8,8,3,2,2,5,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05882352941176,5,3,5.26666666666667,7.26666666666667,7.73333333333333,5.93333333333333,7,5.33333333333333,5.93333333333333,0.2,0.277777777777778,5.02394508668115,8.3656292278296,7.60409893182421,6.93499184658985,1.46197928751299,5.17098973482793,5.1497810401641,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"711",711,711,21,1,2,13,52,0,0,0,14,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,5,8,8,5,8,2,6,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,4,3.88888888888889,6.61111111111111,7.11111111111111,5.22222222222222,6.38888888888889,5.11111111111111,5.38888888888889,0.222222222222222,0.133333333333333,4.89956222486824,5.59574946131704,4.49320694799216,6.00164362408374,9.21081352209528,6.83586328834019,4.23019241194908,1,17,21,25,2,10,9,26,1,4,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,15,20,15,30,5,15,0,6,6,8,6,7,6,6,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23529411764706,8,3,5,7.4,7.73333333333333,5.73333333333333,6.66666666666667,5.06666666666667,5.86666666666667,0.2,0.444444444444444,4.11580266589679,10,6.11973222625964,5.00959613534421,4.30551268720313,6.33778327429948,6.77899811671919,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"712",712,712,21,1,2,14,53,0,0,0,9,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,6,8,7,7,7,2,6,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,9,6.88888888888889,6.94444444444444,7.66666666666667,5.61111111111111,7.27777777777778,5.77777777777778,6.52777777777778,0.5,0.133333333333333,4.23546280447247,5.90631863009718,7.00802892008707,3.93065006695909,5.82165528833372,4.06222206878556,5.3465769106984,1,12,28,25,2,2,2,42,2,6,2,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6,40,15,20,10,5,10,0,6,8,8,7,7,6,7,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.82352941176471,8,3,5,7.26666666666667,7.73333333333333,5.66666666666667,6.66666666666667,5.06666666666667,5.8,0.2,0.444444444444444,5.91331453873216,10,7.22197544872183,5.65126693808548,7.18004066269039,5.6662912677465,6.19723279412978,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"713",713,713,21,1,2,15,54,0,0,0,10,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,6,8,7,6,8,2,6,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,0,4.33333333333333,6.22222222222222,6.75,4.77777777777778,6.38888888888889,5.22222222222222,4.94444444444444,0,0.133333333333333,10,7.09883202148475,6.62491570812188,7.46683049396671,6.92072114168654,5.69576025902737,5.35914966782049,1,13,28,25,2,1,1,30,5,5,1,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,7,40,20,20,20,0,0,0,5,7,7,7,7,5,5,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.17647058823529,9,3,5.06666666666667,7.33333333333333,7.8,5.66666666666667,6.66666666666667,5.13333333333333,5.93333333333333,0.2,0.5,5.06279619880673,7.16612695907873,8.47367918797996,6.51319995461254,5.87366414697313,2.53367162601891,3.01328174225501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"714",714,714,21,1,2,16,55,0,0,0,1,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,5,9,9,8,9,5,8,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,6,6.27777777777778,6.94444444444444,6.88888888888889,7.05555555555556,6.66666666666667,5.33333333333333,6.25,0.333333333333333,0.133333333333333,10,4.66135160442235,3.53315081661721,0,8.66011676248101,5.00589262383681,3.74662232860152,1,1,23,25,1,1,1,39,6,4,2,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,7,20,25,25,10,10,10,0,5,8,10,7,9,5,6,6,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29411764705882,11,3,5.06666666666667,7.26666666666667,7.6,5.66666666666667,6.53333333333333,5.13333333333333,5.86666666666667,0.2,0.611111111111111,5.6847713570528,0.0270976871836224,7.1472273083768,6.31366765999158,7.06465924027261,5.79703080068648,5.66389894511773,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"715",715,715,21,1,2,2,41,1,0,0,7,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,0,5,8,7,5,9,5,7,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,0,3.61111111111111,6.38888888888889,6.66666666666667,4.27777777777778,6.5,4.22222222222222,4.61111111111111,0,0.133333333333333,5.4081788252295,1.32817712834407,0,3.65533569650932,0,6.80859063836479,3.66188419440908,1,10,30,25,4,1,1,42,2,6,5,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,7,30,20,10,30,0,10,0,5,5,5,5,5,6,5,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35294117647059,6,3,5.06666666666667,7.46666666666667,7.93333333333333,5.8,6.8,5.06666666666667,5.93333333333333,0.2,0.333333333333333,4.89335139188734,4.3112525237481,8.42312305259448,4.035928512606,7.71986317903904,5.52538442411389,5.85882149210161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716",716,716,21,1,2,3,42,1,0,0,8,21,25,4,8,10,42,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,1,8,9,8,8,7,6,9,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.64705882352941,2,4,4.77777777777778,5.88888888888889,6.83333333333333,5.61111111111111,6.77777777777778,5,5.27777777777778,0.166666666666667,0.0666666666666667,6.23570433516462,6.96681407940276,9.31797825948414,5.95064047166807,8.29800742322709,4.51377050831458,7.93914268600957,1,11,23,25,4,1,6,28,2,7,4,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6,20,25,20,15,10,10,0,3,10,9,5,9,2,6,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.76470588235294,4,3,5.2,7.13333333333333,7.66666666666667,5.8,6.53333333333333,5.33333333333333,5.86666666666667,0.2,0.222222222222222,6.10002025476066,0,7.03447983891616,3.99261623573386,2.62255209806954,3.68878588529601,5.89164725837324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
