"","X.1","X","iid_W","id_W","wave_W","partner_W","pid_W","samerace_W","match","gender_W","order_W","age_W","tuition_W","race_W","imprace_W","imprelig_W","income_W","goal_W","date_W","go_out_W","sportsAct_W","tvsportsAct_W","exerciseAct_W","diningAct_W","museumsAct_W","artAct_W","hikingAct_W","gamingAct_W","clubbingAct_W","readingAct_W","tvAct_W","theaterAct_W","moviesAct_W","concertsAct_W","musicAct_W","shoppingAct_W","yogaAct_W","exphappy_W","attrPref_W","sincPref_W","intelPref_W","funPref_W","ambPref_W","sharPref_W","dec_W","attrRating_W_of_M","sincRating_W_of_M","intelRating_W_of_M","funRating_W_of_M","ambRating_W_of_M","sharRating_W_of_M","likeRating_W_of_M","prob_W","met_W","goalMeetNew_W","goalFunNight_W","goalOther_W","goalGetDate_W","goalSeriousRel_W","goalSayDid_W","date7_W","date5_W","date3_W","date4_W","date6_W","date1_W","date2_W","raceAsian_W","raceWhite_W","rateOther_W","raceLatino_W","raceBlack_W","go_out1_W","go_out4_W","go_out2_W","go_out3_W","go_out7_W","go_out5_W","go_out6_W","fieldLaw_W","fieldMath_W","fieldPoliSci_W","fieldBusiness_W","fieldEngin_W","fieldAcademia_W","fieldSocialSci_W","fieldSocialWork_W","fieldUndecided_W","fieldMedicine_W","fieldHistReligPhil_W","fieldEnglish_W","fieldScience_W","fieldFilm_W","fieldLanguages_W","fieldArts_W","fieldArch_W","fieldOther_W","careerCreative_W","careerLaw_W","careerInternational_W","careerAcademic_W","careerFinance_W","careerUndecided_W","careerEngineer_W","careerPsychology_W","careerMedicine_W","careerSports_W","careerSocialWork_W","careerRealEstate_W","careerOther_W","careerSpeech_W","careerArch_W","careerPolitics_W","careerJourn_W","activityAvg_W","raterDecSum_W","decSum_W","attrRatingAvg_W_of_M","sincRatingAvg_W_of_M","intelRatingAvg_W_of_M","funRatingAvg_W_of_M","ambRatingAvg_W_of_M","sharRatingAvg_W_of_M","likeRatingAvg_W_of_M","decAvg_W_of_M","raterDecAvg_W","attrRatingGuess_W_of_M","sincRatingGuess_W_of_M","intelRatingGuess_W_of_M","funRatingGuess_W_of_M","ambRatingGuess_W_of_M","sharRatingGuess_W_of_M","likeRatingGuess_W_of_M","gender_M","order_M","age_M","tuition_M","race_M","imprace_M","imprelig_M","income_M","goal_M","date_M","go_out_M","sportsAct_M","tvsportsAct_M","exerciseAct_M","diningAct_M","museumsAct_M","artAct_M","hikingAct_M","gamingAct_M","clubbingAct_M","readingAct_M","tvAct_M","theaterAct_M","moviesAct_M","concertsAct_M","musicAct_M","shoppingAct_M","yogaAct_M","exphappy_M","attrPref_M","sincPref_M","intelPref_M","funPref_M","ambPref_M","sharPref_M","dec_M","attrRating_M_of_W","sincRating_M_of_W","intelRating_M_of_W","funRating_M_of_W","ambRating_M_of_W","sharRating_M_of_W","likeRating_M_of_W","prob_M","met_M","goalMeetNew_M","goalFunNight_M","goalOther_M","goalGetDate_M","goalSeriousRel_M","goalSayDid_M","date7_M","date5_M","date3_M","date4_M","date6_M","date1_M","date2_M","raceAsian_M","raceWhite_M","rateOther_M","raceLatino_M","raceBlack_M","go_out1_M","go_out4_M","go_out2_M","go_out3_M","go_out7_M","go_out5_M","go_out6_M","fieldLaw_M","fieldMath_M","fieldPoliSci_M","fieldBusiness_M","fieldEngin_M","fieldAcademia_M","fieldSocialSci_M","fieldSocialWork_M","fieldUndecided_M","fieldMedicine_M","fieldHistReligPhil_M","fieldEnglish_M","fieldScience_M","fieldFilm_M","fieldLanguages_M","fieldArts_M","fieldArch_M","fieldOther_M","careerCreative_M","careerLaw_M","careerInternational_M","careerAcademic_M","careerFinance_M","careerUndecided_M","careerEngineer_M","careerPsychology_M","careerMedicine_M","careerSports_M","careerSocialWork_M","careerRealEstate_M","careerOther_M","careerSpeech_M","careerArch_M","careerPolitics_M","careerJourn_M","activityAvg_M","raterDecSum_M","decSum_M","attrRatingAvg_M_of_W","sincRatingAvg_M_of_W","intelRatingAvg_M_of_W","funRatingAvg_M_of_W","ambRatingAvg_M_of_W","sharRatingAvg_M_of_W","likeRatingAvg_M_of_W","decAvg_M_of_W","raterDecAvg_M","attrRatingGuess_M_of_W","sincRatingGuess_M_of_W","intelRatingGuess_M_of_W","funRatingGuess_M_of_W","ambRatingGuess_M_of_W","sharRatingGuess_M_of_W","likeRatingGuess_M_of_W","raceAsian_M_Cross_raceAsian_W","raceAsian_M_Cross_raceWhite_W","raceAsian_M_Cross_raceLatino_W","raceAsian_M_Cross_raceBlack_W","raceWhite_M_Cross_raceAsian_W","raceWhite_M_Cross_raceWhite_W","raceWhite_M_Cross_raceLatino_W","raceWhite_M_Cross_raceBlack_W","raceLatino_M_Cross_raceAsian_W","raceLatino_M_Cross_raceWhite_W","raceBlack_M_Cross_raceAsian_W","raceBlack_M_Cross_raceWhite_W","careerCreative_M_Cross_careerInternational_W","careerCreative_M_Cross_careerAcademic_W","careerCreative_M_Cross_careerFinance_W","careerLaw_M_Cross_careerCreative_W","careerLaw_M_Cross_careerLaw_W","careerLaw_M_Cross_careerInternational_W","careerLaw_M_Cross_careerAcademic_W","careerLaw_M_Cross_careerFinance_W","careerFinance_M_Cross_careerCreative_W","careerFinance_M_Cross_careerLaw_W","careerFinance_M_Cross_careerInternational_W","careerFinance_M_Cross_careerAcademic_W","careerFinance_M_Cross_careerFinance_W","careerFinance_M_Cross_careerUndecided_W","careerFinance_M_Cross_careerPsychology_W","careerFinance_M_Cross_careerMedicine_W","careerFinance_M_Cross_careerSocialWork_W","careerUndecided_M_Cross_careerAcademic_W","careerMedicine_M_Cross_careerAcademic_W","fieldLaw_M_Cross_fieldLaw_W","fieldLaw_M_Cross_fieldAcademia_W","fieldLaw_M_Cross_fieldSocialSci_W","fieldLaw_M_Cross_fieldSocialWork_W","fieldPoliSci_M_Cross_fieldPoliSci_W","fieldPoliSci_M_Cross_fieldBusiness_W","fieldPoliSci_M_Cross_fieldAcademia_W","fieldPoliSci_M_Cross_fieldScience_W","fieldBusiness_M_Cross_fieldLaw_W","fieldBusiness_M_Cross_fieldPoliSci_W","fieldBusiness_M_Cross_fieldBusiness_W","fieldBusiness_M_Cross_fieldEngin_W","fieldBusiness_M_Cross_fieldAcademia_W","fieldBusiness_M_Cross_fieldSocialSci_W","fieldBusiness_M_Cross_fieldSocialWork_W","fieldBusiness_M_Cross_fieldEnglish_W","fieldBusiness_M_Cross_fieldScience_W","fieldBusiness_M_Cross_fieldLanguages_W","fieldEngin_M_Cross_fieldEngin_W","fieldEngin_M_Cross_fieldAcademia_W","fieldEngin_M_Cross_fieldSocialSci_W","fieldEngin_M_Cross_fieldSocialWork_W","fieldEngin_M_Cross_fieldEnglish_W","fieldEngin_M_Cross_fieldScience_W","fieldEngin_M_Cross_fieldLanguages_W","fieldScience_M_Cross_fieldPoliSci_W","fieldScience_M_Cross_fieldBusiness_W","fieldScience_M_Cross_fieldHistReligPhil_W","fieldScience_M_Cross_fieldScience_W"
"1707",1707,1707,322,1,13,1,332,1,0,0,7,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,0,8,7,10,8,7,10,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,4,4.77777777777778,8.44444444444444,8.11111111111111,7,6.55555555555556,4.44444444444444,5.88888888888889,0.444444444444444,0.5,6.99647031786496,10,9.39011767512926,10,1.50373030456303,7.33171800358047,6.69936720920519,1,8,30,25,4,1,1,42,3,7,4,7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,7,60,10,10,10,5,5,0,7,7,7,7,7,7,7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64705882352941,4,2,6.375,6.75,6.875,6,6.125,5,5.5,0.25,0.444444444444444,3.1135964818165,7.76433129874027,7.39541371578651,4.98932550201343,6.22463883383952,10,3.19412931360826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1708",1708,1708,322,1,13,2,333,0,0,0,6,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,1,10,7,10,10,7,8,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,8,7.55555555555556,7.66666666666667,7.66666666666667,7.88888888888889,6.55555555555556,6.22222222222222,7.94444444444444,0.777777777777778,0.375,0,7.04524347327242,7.28568661430477,4.33996554640233,0,3.31366648850448,9.25507005716692,1,6,23,26,2,5,3,42,1,3,1,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7,50,5,15,20,10,0,0,6,6,7,7,5,4,7,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.35294117647059,3,2,6.5,6.875,6.875,6,6.375,5.375,5.5,0.25,0.333333333333333,6.61526098403067,7.1144354777962,6.85510953220796,5.89045856240267,6.36955845305673,4.89541477964968,6.88896510639093,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1709",1709,1709,322,1,13,3,334,1,0,0,4,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,0,8,7,10,10,7,10,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,5,7.22222222222222,7.22222222222222,7.66666666666667,7.77777777777778,6.77777777777778,5.66666666666667,7,0.555555555555556,0.5,9.25899643993852,4.21004091396165,9.55603412647421,5.50114320603799,6.48612116604799,4.8981562849093,8.39075434709991,1,4,29,26,4,1,1,42,1,5,3,9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,5,40,10,15,10,10,15,0,6,7,6,6,6,6,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.41176470588235,3,2,6.5,6.75,7,6.125,6.25,5.125,5.625,0.25,0.333333333333333,4.68157474365446,7.24838325862231,7.86687702007426,7.21490429993814,6.39563631801542,0,5.23492104166178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1710",1710,1710,322,1,13,4,335,0,0,0,9,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,0,5,7,10,7,7,6,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,6,6.33333333333333,7.66666666666667,8.33333333333333,6.33333333333333,8,5.66666666666667,5.88888888888889,0.666666666666667,0.5,7.93977772587647,10,10,10,10,6.70837283925487,5.92828559646334,1,10,24,25,2,1,8,42,1,3,3,9,1,9,4,7,7,4,1,4,8,6,5,4,3,8,5,7,6,20,10,20,20,15,15,0,5,4,4,2,2,6,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41176470588235,4,2,6.625,7.125,7.25,6.625,6.75,5.125,6,0.25,0.444444444444444,10,0,7.62252224889672,10,7.22540996020008,9.17040200728764,5.6283145906062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1711",1711,1711,322,1,13,5,336,0,0,0,5,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,0,8,7,10,10,7,6,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,4,5.88888888888889,7.77777777777778,7.77777777777778,7.11111111111111,6.55555555555556,5.22222222222222,6.55555555555556,0.444444444444444,0.5,5.19930840836143,10,8.86660793943834,6.68758360176059,6.48712079936506,4.86017173855515,4.74991453332197,1,5,25,10,3,1,5,42,1,5,2,5,4,4,5,8,10,4,1,1,9,4,6,10,10,10,3,4,4,20,15,30,10,15,10,0,6,8,8,8,8,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.76470588235294,2,2,6.5,6.625,6.75,5.875,6,5.75,6.125,0.25,0.222222222222222,3.05129244166138,7.41661083814464,7.10004443537831,3.64471882405609,5.62024819188874,10,5.14622892873709,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1712",1712,1712,322,1,13,6,337,0,1,0,2,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,1,8,7,10,10,7,8,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,4,5.66666666666667,8.33333333333333,8,6.88888888888889,6.66666666666667,5.22222222222222,6.22222222222222,0.333333333333333,0.375,0,4.56840791208177,9.03477028185988,6.40780013699282,5.56266482656893,6.44147768447498,6.25382125563432,1,2,28,10,2,1,1,42,1,5,3,9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5,17,17,17,17,16,16,1,9,9,9,7,7,6,8,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.58823529411765,8,2,6.125,6.5,6.625,6,6.125,5.125,5.375,0.125,0.777777777777778,7.37916800572689,5.4821984651446,6.88795035434685,6.47577773535362,6.10347065489387,6.79603914679566,5.60742813176298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1713",1713,1713,322,1,13,7,338,0,0,0,3,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,0,5,7,10,8,7,6,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,3,4.77777777777778,7.55555555555556,7.77777777777778,5.55555555555556,7.33333333333333,3.77777777777778,4.88888888888889,0.333333333333333,0.5,6.60413334092381,10,8.22600844425106,7.12740372939633,5.83575704874744,4.96787145651982,6.90521094279745,1,3,27,25,6,1,1,42,1,4,2,4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,2,10,20,25,20,20,5,0,6,6,6,5,6,5,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.82352941176471,7,2,6.5,6.875,7,6.25,6.25,5.25,5.75,0.25,0.777777777777778,7.46057695301834,6.94952875845993,7.15856676767543,7.05289525054987,7.12900340982025,3.01581942110025,8.22206807331798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1714",1714,1714,322,1,13,8,339,0,1,0,1,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,1,10,7,10,10,8,10,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,7,6.66666666666667,7.33333333333333,7.44444444444444,7.55555555555556,7.22222222222222,6,6.88888888888889,0.666666666666667,0.375,5.59624636152997,8.1186014171006,9.27376755297893,7.81196824568833,7.48594158624315,3.53348858794068,5.23102785542025,1,1,26,25,2,3,3,42,2,5,2,7,4,6,8,7,7,6,3,6,8,6,7,8,7,8,6,4,6,20,18.18,20,18,10,10.64,1,8,7,7,8,9,7,8,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35294117647059,5,2,6.25,6.75,6.875,5.875,5.875,5,5.375,0.125,0.444444444444444,7.01415089751736,7.44888272132565,7.29842198634939,3.80131332079726,6.06413703590501,5.96313451083105,5.23216151070677,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1715",1715,1715,322,1,13,9,340,0,0,0,8,34,25,4,2,1,42,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,2,60,15,8,5,10,1,8,7,10,8,7,10,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,4,7,7.55555555555556,6.44444444444444,7.44444444444444,6.77777777777778,7.11111111111111,5.33333333333333,6.55555555555556,0.666666666666667,0.375,9.48270591655504,9.91764212490283,7.80774810167788,0,10,6.0103041229721,7.85929672107943,1,9,26,25,2,3,3,42,2,5,2,7,4,6,8,7,7,6,3,6,8,6,7,8,7,8,6,4,6,20,18.18,20,18,10,10.64,0,5,7,8,5,6,5,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35294117647059,2,2,6.625,6.75,6.75,6.25,6.25,5.25,5.75,0.25,0.222222222222222,7.82250099503433,8.01173522698785,7.04643984409117,9.69932478881781,6.6569278530567,3.8765077371361,7.45659942903524,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1716",1716,1716,323,2,13,1,332,1,1,0,1,25,25,4,1,1,42,2,4,3,5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,8,10,20,20,20,10,20,1,6,7,8,8,6,6,6,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23529411764706,4,4,5,8.44444444444444,8.33333333333333,7,6.66666666666667,4.88888888888889,6.33333333333333,0.333333333333333,0.375,7.90442745119673,0,7.04071250518007,2.57474223246256,7.38635582901808,10,6.60251555602561,1,2,30,25,4,1,1,42,3,7,4,7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,7,60,10,10,10,5,5,1,8,10,9,7,8,8,8,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64705882352941,4,5,7.75,7.625,7.125,5.625,6.375,5.375,6.625,0.5,0.333333333333333,8.04549072316993,5.83618247622443,7.07275302777697,5.87220922198135,6.37618217291106,6.77579270646998,7.5992153453765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
