"","X","iid","id","gender","wave","order","partner","pid","match","samerace","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sportsAct","tvsportsAct","exerciseAct","diningAct","museumsAct","artAct","hikingAct","gamingAct","clubbingAct","readingAct","tvAct","theaterAct","moviesAct","concertsAct","musicAct","shoppingAct","yogaAct","exphappy","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","dec","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","prob","met","goalMeetNew","goalFunNight","goalOther","goalGetDate","goalSeriousRel","goalSayDid","date7","date5","date3","date4","date6","date1","date2","raceAsian","raceWhite","rateOther","raceLatino","raceBlack","go_out1","go_out4","go_out2","go_out3","go_out7","go_out5","go_out6","fieldLaw","fieldMath","fieldPoliSci","fieldBusiness","fieldEngin","fieldAcademia","fieldSocialSci","fieldSocialWork","fieldUndecided","fieldMedicine","fieldHistReligPhil","fieldEnglish","fieldScience","fieldFilm","fieldLanguages","fieldArts","fieldArch","fieldOther","careerCreative","careerLaw","careerInternational","careerAcademic","careerFinance","careerUndecided","careerEngineer","careerPsychology","careerMedicine","careerSports","careerSocialWork","careerRealEstate","careerOther","careerSpeech","careerArch","careerPolitics","careerJourn","activityAvg","sportsActAdj","tvsportsActAdj","exerciseActAdj","diningActAdj","museumsActAdj","artActAdj","hikingActAdj","gamingActAdj","clubbingActAdj","readingActAdj","tvActAdj","theaterActAdj","moviesActAdj","concertsActAdj","musicActAdj","shoppingActAdj","yogaActAdj","raterDecSum","decSum","attrRatingAvg","sincRatingAvg","intelRatingAvg","funRatingAvg","ambRatingAvg","sharRatingAvg","likeRatingAvg","decAvg","raterDecAvg","attrRatingGuess","sincRatingGuess","intelRatingGuess","funRatingGuess","ambRatingGuess","sharRatingGuess","likeRatingGuess"
"1",101,11,1,1,1,4,1,1,0,0,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47058823529412,2.52941176470588,1.52941176470588,-3.47058823529412,0.529411764705882,1.52941176470588,-0.470588235294118,-0.470588235294118,-0.470588235294118,-1.47058823529412,3.52941176470588,-3.47058823529412,-1.47058823529412,2.52941176470588,1.52941176470588,2.52941176470588,-0.470588235294118,-4.47058823529412,0,5,6.77777777777778,7.33333333333333,8,7.11111111111111,8,7.22222222222222,6.83333333333333,0.555555555555556,0,6.75227937242561,7.6409155343911,7.45101227708859,7.44806771358144,7.77102841843224,6.03148134936469,6.36802597245446
"2",111,12,2,1,1,3,1,1,0,0,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23529411764706,2.76470588235294,0.764705882352941,2.76470588235294,1.76470588235294,0.764705882352941,-0.235294117647059,-3.23529411764706,-3.23529411764706,-1.23529411764706,-0.235294117647059,-0.235294117647059,-2.23529411764706,0.764705882352941,0.764705882352941,2.76470588235294,-1.23529411764706,-1.23529411764706,3,5,6.66666666666667,7.33333333333333,7.77777777777778,7.22222222222222,8.11111111111111,7.33333333333333,6.72222222222222,0.555555555555556,0.333333333333333,6.16089543835615,6.9020977176574,8.77131722970036,6.10357922343979,6.72470368631093,5.89838743069821,6.71259047539586
"3",121,13,3,1,1,10,1,1,1,1,22,1,25,4,3,5,42,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70588235294118,0.294117647058823,1.29411764705882,-4.70588235294118,2.29411764705882,-1.70588235294118,-0.705882352941177,-2.70588235294118,0.294117647058823,0.294117647058823,-0.705882352941177,1.29411764705882,3.29411764705882,1.29411764705882,2.29411764705882,2.29411764705882,1.29411764705882,-5.70588235294118,10,5,6.33333333333333,7.11111111111111,7.77777777777778,6.88888888888889,7.77777777777778,6.77777777777778,6.5,0.444444444444444,1,8.21152677347674,8.89543263345185,9.42476843509929,9.25751838669076,9.37017149699322,9.58346849588667,8.92569810807943
"4",131,14,4,1,1,5,1,1,1,0,23,1,25,2,1,1,56,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52941176470588,3.47058823529412,-0.529411764705882,1.47058823529412,1.47058823529412,-3.52941176470588,-3.52941176470588,3.47058823529412,1.47058823529412,1.47058823529412,-0.529411764705882,0.470588235294118,-3.52941176470588,3.47058823529412,-0.529411764705882,1.47058823529412,-0.529411764705882,-5.52941176470588,10,5,6.66666666666667,7.33333333333333,7.88888888888889,7.11111111111111,7.88888888888889,7,6.83333333333333,0.444444444444444,1,6.86864445521066,7.9572968353606,7.83459802370717,8.03254239821945,8.89389575159878,8.5674869562503,7.42216559864147
"5",141,15,5,1,1,7,1,1,1,0,24,1,25,3,3,1,36,1,4,1,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41176470588235,2.58823529411765,0.588235294117647,2.58823529411765,0.588235294117647,-2.41176470588235,-3.41176470588235,-0.411764705882353,0.588235294117647,2.58823529411765,1.58823529411765,-0.411764705882353,2.58823529411765,2.58823529411765,-0.411764705882353,0.588235294117647,-4.41176470588235,-5.41176470588235,9,5,6.55555555555556,7.44444444444444,7.88888888888889,7.33333333333333,7.88888888888889,7.11111111111111,6.72222222222222,0.444444444444444,0.888888888888889,7.12332239014143,8.51141541297338,8.66705808691732,7.67585494375365,8.28042003058871,7.27225551395166,7.41887476765791
"6",151,16,6,1,1,6,1,1,0,0,25,8,25,2,9,2,42,1,5,1,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.82352941176471,1.17647058823529,-3.82352941176471,0.176470588235294,1.17647058823529,1.17647058823529,1.17647058823529,-0.823529411764706,-0.823529411764706,-0.823529411764706,2.17647058823529,-2.82352941176471,1.17647058823529,2.17647058823529,1.17647058823529,2.17647058823529,0.176470588235294,-4.82352941176471,8,5,6.66666666666667,7.44444444444444,8,7.11111111111111,8.11111111111111,7.11111111111111,6.83333333333333,0.444444444444444,0.777777777777778,6.32864212576867,7.0991569300085,7.440432413784,6.7902864461003,8.0295701242758,7.40850206560738,6.36194303209808
"7",161,17,7,1,1,1,1,1,0,0,30,13,25,2,1,1,38,3,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,2.70588235294118,-3.29411764705882,3.70588235294118,1.70588235294118,1.70588235294118,-0.294117647058823,-1.29411764705882,-3.29411764705882,0.705882352941177,-1.29411764705882,-3.29411764705882,1.70588235294118,3.70588235294118,1.70588235294118,1.70588235294118,-3.29411764705882,-3.29411764705882,2,5,7.11111111111111,7.55555555555556,8.11111111111111,7.44444444444444,8,7.11111111111111,7.38888888888889,0.555555555555556,0.222222222222222,6.24101781265163,5.84433593311444,6.13849194508202,5.37247950168694,6.3349223062793,4.9515259111238,5.36272711880595
"8",171,18,8,1,1,2,1,1,0,0,27,8,25,2,8,8,52,1,6,1,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.70588235294118,0.294117647058823,0.294117647058823,0.294117647058823,4.29411764705882,-0.705882352941177,-1.70588235294118,-0.705882352941177,-0.705882352941177,-2.70588235294118,1.29411764705882,4.29411764705882,-1.70588235294118,4.29411764705882,-1.70588235294118,1.29411764705882,-2.70588235294118,-3.70588235294118,3,5,6.77777777777778,7.44444444444444,8.33333333333333,7.33333333333333,8,7.22222222222222,6.83333333333333,0.555555555555556,0.333333333333333,6.39327519345673,6.80401449579714,7.59316766703527,6.58350641301532,7.30358938275551,5.89099858321047,6.54172701902965
"9",181,19,9,1,1,8,1,1,1,0,28,8,25,2,1,1,42,4,1,1,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.05882352941176,2.94117647058824,2.94117647058824,2.94117647058824,2.94117647058824,-2.05882352941176,-2.05882352941176,-1.05882352941176,-0.0588235294117645,1.94117647058824,0.941176470588236,-6.05882352941176,-6.05882352941176,-0.0588235294117645,-0.0588235294117645,-0.0588235294117645,-0.0588235294117645,2.94117647058824,10,5,6.66666666666667,7.44444444444444,8,7.11111111111111,8,6.88888888888889,6.88888888888889,0.444444444444444,1,6.67423603653652,7.00830812177336,7.92983355555661,8.07728476893038,8.18577806551898,7.73855066424435,7.32497496183058
"10",191,20,10,1,1,9,1,1,0,0,24,8,25,2,1,1,42,1,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,2,1,1,-4,2,2,0,-5,0,0,-2,-2,-3,2,1,5,6.77777777777778,7.55555555555556,8.22222222222222,7.33333333333333,8.22222222222222,7.22222222222222,6.94444444444444,0.555555555555556,0.111111111111111,5.97236717785292,7.64595161646835,8.19647135048179,6.80902416367607,8.82459623477417,7.36117088433243,6.30958011438449
