"","match","decM","decW","raterDecAvgW","decAvgM","avgWaveDecW","raterDecAvgM","decAvgW","avgWaveDecM","funAvgRatingM","attrAvgRatingW","ageM","exphappyW","shoppingWealthIndW","goalMeetNewM_goalFunNightWCross","goalMeetNewM_goalMeetNewWCross","goalFunNightM_goalMeetNewWCross","goalFunNightM_goalFunNightWCross","sharPrefW","datesCrossProbDecW","raceAsianM_raceWhiteWCross","fieldsCrossProbMatch","goalsCrossProbMatch","careerAcademicM","racesCrossProbMatch","careerFinanceW","impraceW","impraceM","dateW","probAvgRatingM","probAvgRatingW","impreligW","raceAsianW","careersManProbDecW","careersWomanProbDecW","baselineDecMGuess","baselineDecWGuess","betterDecMGuess","betterDecWGuess","baselineMatchGuess","betterMatchGuess"
"1",0,1,0,0.8125,0,0.32421875,1,0.5,0.53515625,4.1875,6.9375,23,7,6,0,0,0,0,9.52,0.271929824561404,0,0.126984126984127,0.0333333333333333,1,0.141287284144427,0,1,3,5,4.25,5,4,0,0.277519379844961,0.311475409836066,0.913902728716044,0.435244645656653,0.91046695324084,0.160078260303878,0.331575130506598,0.107225977714331
"2",1,1,1,0.75,0.1875,0.31640625,0.5625,0.5,0.53515625,6.6875,7.125,23,7,6,1,0,0,0,9.52,0.271929824561404,0,0.126984126984127,0.146757679180887,1,0.141287284144427,0,1,1,5,4.625,5.3125,4,0,0.277519379844961,0.311475409836066,0.547158664923292,0.599015350306441,0.555432677127268,0.648969218962729,0.28571820326107,0.316008908941734
"3",1,1,1,0.75,0.125,0.31640625,0.625,0.5625,0.53515625,6.1875,7.1875,23,7,6,0,0,0,1,9.52,0.290697674418605,1,0.126984126984127,0.182584269662921,0,0.12,0,1,1,5,5.1875,4.6875,4,0,0.419354838709677,0.311475409836066,0.689230802469835,0.521904952079324,0.652365964695127,0.355332204597716,0.28859360647599,0.182588284075866
"4",1,1,1,0.75,0.8125,0.3203125,0.3125,0.5625,0.53515625,7.625,7.0625,28,7,6,1,0,0,0,9.52,0.271929824561404,0,0.126984126984127,0.146757679180887,1,0.141287284144427,0,1,2,5,5.25,5.0625,4,0,0.277519379844961,0.311475409836066,0.318961213361947,0.970613080610462,0.209462932554359,0.949403641518242,0.697481697464235,0.5613671661738
"5",0,1,0,0.8125,0,0.3203125,0.8125,0.5625,0.53515625,4.875,7.375,28,7,6,0,0,0,1,9.52,0.338235294117647,1,0.126984126984127,0.182584269662921,0,0.12,0,1,2,5,4.75,5.0625,4,0,0.23943661971831,0.311475409836066,0.849116235328606,0.442093674762213,0.893380726247172,0.266704993521815,0.30574478009978,0.273318703699005
"6",1,1,1,0.75,0.3125,0.31640625,0.875,0.5625,0.53515625,5.8125,7.375,29,7,6,0,0,0,1,9.52,0.290697674418605,0,0.132075471698113,0.182584269662921,0,0.141287284144427,0,1,1,5,5.375,5,4,0,0.268333333333333,0.311475409836066,0.884746384956218,0.736407116073427,0.892182709802332,0.549160980357753,0.507586950432416,0.372643444373033
"7",1,1,1,0.75,0.5,0.31640625,0.5,0.5,0.53515625,7.5,7.25,27,7,6,0,0,0,1,9.52,0.418604651162791,0,0.132075471698113,0.182584269662921,0,0.141287284144427,0,1,5,5,6.1875,5.125,4,0,0.268333333333333,0.311475409836066,0.469659784690117,0.877035567827906,0.504404349204292,0.88846532848858,0.49707509520727,0.498794555712082
"8",1,1,1,0.75,0.3125,0.3203125,0.5,0.5625,0.5390625,7.5,7.3125,22,7,6,0,0,0,1,9.52,0.290697674418605,0,0.315346803118542,0.182584269662921,1,0.141287284144427,0,1,5,5,5.875,5.125,4,0,0.277519379844961,0.311475409836066,0.536913380275581,0.730878770661713,0.652499949693201,0.777498682563034,0.378597517166727,0.552298940112543
"9",1,1,1,0.75,0.0625,0.3203125,0.5625,0.5,0.5390625,5.875,7.375,28,7,6,0,0,0,1,9.52,0.271929824561404,0,0.126984126984127,0.182584269662921,1,0.141287284144427,0,1,7,5,4.875,4.9375,4,0,0.277519379844961,0.311475409836066,0.540318823962515,0.436527946676398,0.586739872636591,0.405254445405604,0.208042888842375,0.23409209913765
"10",0,0,1,0.75,0.1875,0.3203125,0.5625,0.5625,0.5390625,8,7.4375,29,7,6,1,0,0,0,9.52,0.338235294117647,0,0.132075471698113,0.146757679180887,0,0.180327868852459,0,1,3,5,5.8125,5,4,0,0.5625,0.311475409836066,0.613476661825401,0.592167410686374,0.553048654464109,0.770235940355049,0.313883828983654,0.355218373556247
"11",0,0,1,0.6875,0.625,0.31640625,0.25,0.625,0.5390625,7.75,7.3125,22,7,6,1,0,0,0,9.52,0.290697674418605,0,0.126984126984127,0.146757679180887,0,0.141287284144427,0,1,6,5,4.5,4.9375,4,0,0.419354838709677,0.311475409836066,0.311455732359775,0.907241891056373,0.176320863918514,0.902472440171331,0.530175808245136,0.376257375267288
"12",0,0,1,0.75,0.1875,0.3203125,0.4375,0.5625,0.54296875,5.6875,7.4375,27,7,6,1,0,0,0,9.52,0.271929824561404,1,0.126984126984127,0.146757679180887,0,0.12,0,1,1,5,4.25,5.125,4,0,0.23943661971831,0.311475409836066,0.453382875564306,0.592167410686374,0.544685758176169,0.457096435647088,0.276835063668662,0.271691898397394
"13",0,0,1,0.75,0.4375,0.31640625,0.375,0.5625,0.5390625,7.3125,7.5,26,7,6,0,0,0,0,9.52,0.418604651162791,0,0.362622560800902,0.0333333333333333,1,0.141287284144427,0,1,1,5,5.4375,5.1875,4,0,0.277519379844961,0.311475409836066,0.384659490215103,0.839208603357189,0.643454254049714,0.895440609139026,0.441942063348933,0.607444888542778
"14",0,0,1,0.75,0.3125,0.3203125,0.3125,0.625,0.54296875,7.125,7.3125,27,7,6,0,0,0,1,9.52,0.271929824561404,0,0.338562172233852,0.182584269662921,1,0.141287284144427,0,1,1,5,5.9375,5.5,4,0,0.277519379844961,0.311475409836066,0.375053195307429,0.730878770661713,0.556562139911727,0.794382532327961,0.35335215340291,0.57694194274535
"15",0,0,0,0.8125,0.3125,0.32421875,0.4375,0.625,0.5390625,5.6875,7.25,30,7,6,0,0,0,0,9.52,0.271929824561404,0,0.1,0.26,0,0.141287284144427,0,1,4,5,4.6875,5.0625,4,0,0.298245614035088,0.311475409836066,0.534369848295234,0.786938450162521,0.48751954779263,0.754145232275911,0.442487239488408,0.397287242968739
"16",0,0,0,0.8125,0.3125,0.3203125,0.5,0.625,0.5390625,6.3125,7.5625,26,7,6,0,0,0,0,9.52,0.338235294117647,0,0.132075471698113,0.121951219512195,0,0.323959135850502,0,1,1,5,5.125,5.5625,4,0,0.268333333333333,0.311475409836066,0.610256785442062,0.791545721444068,0.674813415191113,0.785637573761837,0.465996075260127,0.429078354323298
"17",0,1,0,0.625,0,0.32421875,1,0,0.5390625,4.125,4.625,23,6,6,0,0,0,0,18.75,0.25,0,0,0.161290322580645,1,0.141287284144427,0,6,3,7,4.625,4.25,2,0,0.277519379844961,0.344827586206897,0.487069051626505,0.232603068265757,0.329663906546216,0.112297239719563,0.0870590741963903,0.0291679650985084
