"","iid","id","gender","wave","round","order","partner","pid","match","sameRace","age","fieldCD","race","imprace","imprelig","goal","date","goOut","careerCD","exphappy","expnum","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","decRating","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","probRating","met","youCall","themCall","dateAfter","numDatesAfter"
"201",21,1,0,2,16,6,1,40,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,7,9,5,7,9,1,1,0,0,0,NA
"202",21,1,0,2,16,7,2,41,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,8,7,5,9,5,7,2,2,0,0,0,NA
"203",21,1,0,2,16,8,3,42,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1,8,9,8,8,7,6,9,3,0,0,0,0,NA
"204",21,1,0,2,16,11,4,43,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,8,8,4,9,3,6,1,2,0,0,0,NA
"205",21,1,0,2,16,15,5,44,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,7,7,8,5,7,2,6,1,2,0,0,0,NA
"206",21,1,0,2,16,2,6,45,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,8,6,8,4,5,2,2,0,0,0,NA
"207",21,1,0,2,16,5,7,46,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,8,6,8,5,8,2,2,0,0,0,NA
"208",21,1,0,2,16,12,8,47,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,4,7,7,4,7,3,5,1,2,0,0,0,NA
"209",21,1,0,2,16,16,9,48,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,7,7,7,5,6,3,6,1,2,0,0,0,NA
"210",21,1,0,2,16,3,10,49,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1,9,9,10,9,9,8,9,5,2,0,0,0,NA
"211",21,1,0,2,16,4,11,50,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,7,7,7,7,6,6,1,2,0,0,0,NA
"212",21,1,0,2,16,13,12,51,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,7,4,6,4,4,2,2,1,2,0,0,0,NA
"213",21,1,0,2,16,14,13,52,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,8,8,5,8,2,6,1,2,0,0,0,NA
"214",21,1,0,2,16,9,14,53,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,7,7,7,2,6,1,2,0,0,0,NA
"215",21,1,0,2,16,10,15,54,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,7,6,8,2,6,1,2,0,0,0,NA
"216",21,1,0,2,16,1,16,55,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,9,9,8,9,5,8,3,2,0,0,0,NA
"217",22,2,0,2,16,8,1,40,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,5,7,7,6,7,5,6,4,2,0,0,0,NA
"218",22,2,0,2,16,9,2,41,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,4,7,6,6,7,2,3,3,2,0,0,0,NA
"219",22,2,0,2,16,10,3,42,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,5,6,6,5,6,3,3,2,2,0,0,0,NA
"220",22,2,0,2,16,13,4,43,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,5,7,7,5,7,3,4,3,2,0,0,0,NA
"221",22,2,0,2,16,1,5,44,1,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,6,8,8,7,7,6,6,6,2,0,0,0,NA
"222",22,2,0,2,16,4,6,45,1,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,6,7,7,4,6,6,6,6,2,0,0,0,NA
"223",22,2,0,2,16,7,7,46,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,8,7,7,7,6,7,7,4,2,0,0,0,NA
"224",22,2,0,2,16,14,8,47,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,5,7,7,6,6,5,5,4,2,0,0,0,NA
"225",22,2,0,2,16,2,9,48,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,7,7,7,7,7,6,7,4,2,0,0,0,NA
"226",22,2,0,2,16,5,10,49,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,6,7,7,5,7,4,5,3,2,0,0,0,NA
"227",22,2,0,2,16,6,11,50,0,1,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,5,6,7,7,7,7,6,6,2,0,0,0,NA
"228",22,2,0,2,16,15,12,51,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,3,4,5,4,4,2,2,1,2,0,0,0,NA
"229",22,2,0,2,16,16,13,52,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,3,6,7,5,5,4,2,2,2,0,0,0,NA
