"","X.1","X","iidW","idW","wave","partnerW","pidW","match","sameRace","ageW","tuitionWealthIndW","impraceW","impreligW","incomeWealthIndW","dateW","goOutW","sportsPhysActW","tvsportsMiscActW","exercisePhysActW","diningWealthIndW","museumsArtActW","artArtActW","hikingPhysActW","gamingMiscActW","clubbingMiscActW","readingArtActW","tvMiscActW","theaterArtActW","moviesArtActW","concertsMiscActW","musicArtActW","shoppingWealthIndW","yogaPhysActW","exphappyW","expnumW","attrPrefW","sincPrefW","intelPrefW","funPrefW","ambPrefW","sharPrefW","decW","attrRatingOfMbyW","sincRatingOfMbyW","intelRatingOfMbyW","funRatingOfMbyW","ambRatingOfMbyW","sharRatingOfMbyW","likeRatingOfMbyW","probRatingOfMbyW","metW","goalMeetNewW","goalFunNightW","goalOtherW","goalGetDateW","goalSeriousRelW","goalSayDidW","date7W","date5W","date3W","date4W","date6W","date1W","date2W","raceAsianW","raceWhiteW","rateOtherW","raceLatinoW","raceBlackW","fieldLawW","fieldMathW","fieldPoliSciW","fieldBusinessW","fieldEnginW","fieldAcademiaW","fieldSocialSciW","fieldSocialWorkW","fieldUndecidedW","fieldMedicineW","fieldHistReligPhilW","fieldEnglishW","fieldScienceW","fieldFilmW","fieldLanguagesW","fieldArtsW","fieldArchW","fieldOtherW","careerCreativeW","careerLawW","careerInternationalW","careerAcademicW","careerFinanceW","careerUndecidedW","careerEngineerW","careerPsychologyW","careerMedicineW","careerSportsW","careerSocialWorkW","careerRealEstateW","careerOtherW","careerSpeechW","careerArchW","careerPoliticsW","careerJournW","attrAvgRatingOfMbyW","sincAvgRatingOfMbyW","intelAvgRatingOfMbyW","funAvgRatingOfMbyW","ambAvgRatingOfMbyW","sharAvgRatingOfMbyW","likeAvgRatingOfMbyW","probAvgRatingOfMbyW","decAvgOfMbyW","raterDecAvgW","attrRatingGuessOfMbyW","sincRatingGuessOfMbyW","intelRatingGuessOfMbyW","funRatingGuessOfMbyW","ambRatingGuessOfMbyW","sharRatingGuessOfMbyW","likeRatingGuessOfMbyW","probRatingGuessOfMbyW","ageM","tuitionWealthIndM","impraceM","impreligM","incomeWealthIndM","dateM","goOutM","sportsPhysActM","tvsportsMiscActM","exercisePhysActM","diningWealthIndM","museumsArtActM","artArtActM","hikingPhysActM","gamingMiscActM","clubbingMiscActM","readingArtActM","tvMiscActM","theaterArtActM","moviesArtActM","concertsMiscActM","musicArtActM","shoppingWealthIndM","yogaPhysActM","exphappyM","expnumM","attrPrefM","sincPrefM","intelPrefM","funPrefM","ambPrefM","sharPrefM","decM","attrRatingOfWbyM","sincRatingOfWbyM","intelRatingOfWbyM","funRatingOfWbyM","ambRatingOfWbyM","sharRatingOfWbyM","likeRatingOfWbyM","probRatingOfWbyM","metM","goalMeetNewM","goalFunNightM","goalOtherM","goalGetDateM","goalSeriousRelM","goalSayDidM","date7M","date5M","date3M","date4M","date6M","date1M","date2M","raceAsianM","raceWhiteM","rateOtherM","raceLatinoM","raceBlackM","fieldLawM","fieldMathM","fieldPoliSciM","fieldBusinessM","fieldEnginM","fieldAcademiaM","fieldSocialSciM","fieldSocialWorkM","fieldUndecidedM","fieldMedicineM","fieldHistReligPhilM","fieldEnglishM","fieldScienceM","fieldFilmM","fieldLanguagesM","fieldArtsM","fieldArchM","fieldOtherM","careerCreativeM","careerLawM","careerInternationalM","careerAcademicM","careerFinanceM","careerUndecidedM","careerEngineerM","careerPsychologyM","careerMedicineM","careerSportsM","careerSocialWorkM","careerRealEstateM","careerOtherM","careerSpeechM","careerArchM","careerPoliticsM","careerJournM","attrAvgRatingOfWbyM","sincAvgRatingOfWbyM","intelAvgRatingOfWbyM","funAvgRatingOfWbyM","ambAvgRatingOfWbyM","sharAvgRatingOfWbyM","likeAvgRatingOfWbyM","probAvgRatingOfWbyM","decAvgOfWbyM","raterDecAvgM","attrRatingGuessOfWbyM","sincRatingGuessOfWbyM","intelRatingGuessOfWbyM","funRatingGuessOfWbyM","ambRatingGuessOfWbyM","sharRatingGuessOfWbyM","likeRatingGuessOfWbyM","probRatingGuessOfWbyM","raceAsianMraceAsianW","raceAsianMraceWhiteW","raceAsianMraceLatinoW","raceAsianMraceBlackW","raceWhiteMraceAsianW","raceWhiteMraceWhiteW","raceWhiteMraceLatinoW","raceWhiteMraceBlackW","raceLatinoMraceAsianW","raceLatinoMraceWhiteW","raceBlackMraceAsianW","raceBlackMraceWhiteW","raceAsianMraceAsianWimpRaceM","raceAsianMraceWhiteWimpRaceM","raceAsianMraceLatinoWimpRaceM","raceAsianMraceBlackWimpRaceM","raceWhiteMraceAsianWimpRaceM","raceWhiteMraceWhiteWimpRaceM","raceWhiteMraceLatinoWimpRaceM","raceWhiteMraceBlackWimpRaceM","raceLatinoMraceAsianWimpRaceM","raceLatinoMraceWhiteWimpRaceM","raceBlackMraceAsianWimpRaceM","raceBlackMraceWhiteWimpRaceM","raceAsianMraceAsianWimpRaceW","raceAsianMraceWhiteWimpRaceW","raceAsianMraceLatinoWimpRaceW","raceAsianMraceBlackWimpRaceW","raceWhiteMraceAsianWimpRaceW","raceWhiteMraceWhiteWimpRaceW","raceWhiteMraceLatinoWimpRaceW","raceWhiteMraceBlackWimpRaceW","raceLatinoMraceAsianWimpRaceW","raceLatinoMraceWhiteWimpRaceW","raceBlackMraceAsianWimpRaceW","raceBlackMraceWhiteWimpRaceW","careerMedicineWcareerMedicineW","careerCreativeMcareerInternationalW","careerCreativeMcareerAcademicW","careerCreativeMcareerFinanceW","careerLawMcareerCreativeW","careerLawMcareerLawW","careerLawMcareerInternationalW","careerLawMcareerAcademicW","careerLawMcareerFinanceW","careerAcademicMcareerCreativeW","careerAcademicMcareerLawW","careerAcademicMcareerInternationalW","careerAcademicMcareerAcademicW","careerAcademicMcareerFinanceW","careerAcademicMcareerUndecidedW","careerAcademicMcareerMedicineW","careerAcademicMcareerSocialWorkW","careerFinanceMcareerCreativeW","careerFinanceMcareerLawW","careerFinanceMcareerInternationalW","careerFinanceMcareerAcademicW","careerFinanceMcareerFinanceW","careerFinanceMcareerUndecidedW","careerFinanceMcareerPsychologyW","careerFinanceMcareerMedicineW","careerFinanceMcareerSocialWorkW","careerUndecidedMcareerAcademicW","careerMedicineMcareerAcademicW","fieldMathWfieldMathW","fieldMedicineWfieldMedicineW","fieldLawMFieldLawW","fieldLawMFieldAcademiaW","fieldLawMFieldSocialSciW","fieldLawMFieldSocialWorkW","fieldPoliSciMFieldPoliSciW","fieldPoliSciMFieldBusinessW","fieldPoliSciMFieldAcademiaW","fieldPoliSciMFieldScienceW","fieldBusinessMFieldLawW","fieldBusinessMFieldPoliSciW","fieldBusinessMFieldBusinessW","fieldBusinessMFieldEnginW","fieldBusinessMFieldAcademiaW","fieldBusinessMFieldSocialSciW","fieldBusinessMFieldSocialWorkW","fieldBusinessMFieldEnglishW","fieldBusinessMFieldScienceW","fieldBusinessMFieldLanguagesW","fieldEnginMFieldEnginW","fieldEnginMFieldAcademiaW","fieldEnginMFieldSocialSciW","fieldEnginMFieldSocialWorkW","fieldEnginMFieldEnglishW","fieldEnginMFieldScienceW","fieldEnginMFieldLanguagesW","fieldScienceMFieldPoliSciW","fieldScienceMFieldBusinessW","fieldScienceMFieldHistReligPhilW","fieldScienceMFieldScienceW"
"1",1,1,1,1,1,1,11,0,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,8.77777777777778,8.33333333333333,5.22222222222222,6.44444444444444,5.33333333333333,6.11111111111111,5.11111111111111,0.333333333333333,0.777777777777778,4.97079356056543,8.24218314938605,8.32909264906405,4.76656604146996,6.12051685756601,5.54646125514524,5.91216296344554,5.85226864867576,27,25,7,3,42,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77777777777778,7.33333333333333,8,7.11111111111111,8,7.22222222222222,6.83333333333333,5.88888888888889,0.555555555555556,0,6.75227937242561,7.6409155343911,7.45101227708859,7.44806771358144,7.77102841843224,6.03148134936469,6.36802597245446,3.82743191287206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,2,1,1,1,10,20,0,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,5,6,6,8,10,8,6,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77777777777778,7.44444444444444,8.11111111111111,8.22222222222222,8.22222222222222,7.22222222222222,8.55555555555556,6.66666666666667,0.888888888888889,0.777777777777778,2.18648671289837,7.25136390393449,7.73359056328041,7.84876455528924,7.94716525320674,7.2230612522592,7.66357581283691,3.52993372313462,24,25,1,1,42,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,19,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.77777777777778,7.55555555555556,8.22222222222222,7.33333333333333,8.22222222222222,7.22222222222222,6.94444444444444,5.66666666666667,0.555555555555556,0.111111111111111,5.97236717785292,7.64595161646835,8.19647135048179,6.80902416367607,8.82459623477417,7.36117088433243,6.30958011438449,6.92588643243959,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,3,1,1,1,2,12,0,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,7,8,7,8,5,6,7,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11111111111111,6.44444444444444,7.11111111111111,6.55555555555556,7.11111111111111,6.11111111111111,6.88888888888889,4.11111111111111,0.333333333333333,0.777777777777778,7.04259081237554,10,6.30132587011731,6.56493329590769,5.62246965714871,6.26750340002185,0,4.47688294796195,22,25,1,1,29,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,7.33333333333333,7.77777777777778,7.22222222222222,8.11111111111111,7.33333333333333,6.72222222222222,5.88888888888889,0.555555555555556,0.333333333333333,6.16089543835615,6.9020977176574,8.77131722970036,6.10357922343979,6.72470368631093,5.89838743069821,6.71259047539586,3.86173018570701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,4,1,1,1,3,13,1,1,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,5,8,9,8,5,7,7,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77777777777778,7.88888888888889,8.77777777777778,6.88888888888889,6,5.77777777777778,6.33333333333333,5.11111111111111,0.333333333333333,0.777777777777778,4.1372564236947,7.27977668262288,8.7114706328603,6.69393386716636,5.82871591330705,5.62198749327875,6.58233451755187,5.6792792940867,22,25,3,5,42,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33333333333333,7.11111111111111,7.77777777777778,6.88888888888889,7.77777777777778,6.77777777777778,6.5,5.22222222222222,0.444444444444444,1,8.21152677347674,8.89543263345185,9.42476843509929,9.25751838669076,9.37017149699322,9.58346849588667,8.92569810807943,8.59541966724753,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,5,1,1,1,4,14,1,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,7,6,8,7,6,8,7,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,7.77777777777778,7.33333333333333,7.66666666666667,6.66666666666667,7.22222222222222,7.77777777777778,5.44444444444444,0.777777777777778,0.777777777777778,7.85265769705864,7.39930555319921,6.9342212228495,7.69434657645761,6.5922562801462,0.473722367398562,7.36137468499638,6.1869096722037,23,25,1,1,56,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,7.33333333333333,7.88888888888889,7.11111111111111,7.88888888888889,7,6.83333333333333,5.55555555555556,0.444444444444444,1,6.86864445521066,7.9572968353606,7.83459802370717,8.03254239821945,8.89389575159878,8.5674869562503,7.42216559864147,6.80666179645351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6,1,1,1,5,15,1,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,5,6,7,7,6,6,6,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77777777777778,7.77777777777778,7.77777777777778,7.22222222222222,6.55555555555556,6.66666666666667,6.33333333333333,4.66666666666667,0.222222222222222,0.777777777777778,5.41617826162586,7.82121028633503,7.17705158591494,7.39634272420742,6.22255117350741,6.85053640902877,6.61053266466281,5.41227723878846,24,25,3,1,36,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55555555555556,7.44444444444444,7.88888888888889,7.33333333333333,7.88888888888889,7.11111111111111,6.72222222222222,5.66666666666667,0.444444444444444,0.888888888888889,7.12332239014143,8.51141541297338,8.66705808691732,7.67585494375365,8.28042003058871,7.27225551395166,7.41887476765791,4.76212262279208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,7,1,1,1,6,16,0,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,0,4,9,7,4,6,4,6,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77777777777778,8.33333333333333,7.66666666666667,4.44444444444444,6,4.88888888888889,5.55555555555556,3.77777777777778,0.333333333333333,0.888888888888889,5.68829679239819,7.68532449339242,7.01708097820251,5.84345751545082,5.39347792005654,4.95829850295074,5.91890289496394,4.40494736196149,25,25,9,2,42,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,7.44444444444444,8,7.11111111111111,8.11111111111111,7.11111111111111,6.83333333333333,5.66666666666667,0.444444444444444,0.777777777777778,6.32864212576867,7.0991569300085,7.440432413784,6.7902864461003,8.0295701242758,7.40850206560738,6.36194303209808,5.87317101752226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,8,1,1,1,7,17,0,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,7,6,7,4,6,7,6,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,7.77777777777778,8.66666666666667,6.33333333333333,6.77777777777778,6.55555555555556,7,4.88888888888889,0.777777777777778,0.777777777777778,7.3375793659899,7.53491363794536,8.17970611050231,6.44671246249476,6.69657858725018,6.30932350557321,8.2868396218798,5.59932000516988,30,25,1,1,38,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11111111111111,7.55555555555556,8.11111111111111,7.44444444444444,8,7.11111111111111,7.38888888888889,6.22222222222222,0.555555555555556,0.222222222222222,6.24101781265163,5.84433593311444,6.13849194508202,5.37247950168694,6.3349223062793,4.9515259111238,5.36272711880595,4.36229781786616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,9,1,1,1,8,18,0,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,0,4,9,7,6,5,6,6,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22222222222222,7.22222222222222,7.77777777777778,5.11111111111111,7.77777777777778,5.55555555555556,5.77777777777778,5.44444444444444,0.333333333333333,0.888888888888889,4.82837812396657,6.82181587684459,7.2133325458401,5.6413408924061,6.65788928586135,5.58643552943941,5.92330490223567,5.80599881286921,27,25,8,8,52,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.77777777777778,7.44444444444444,8.33333333333333,7.33333333333333,8,7.22222222222222,6.83333333333333,5.77777777777778,0.555555555555556,0.333333333333333,6.39327519345673,6.80401449579714,7.59316766703527,6.58350641301532,7.30358938275551,5.89099858321047,6.54172701902965,5.10213634786761,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,10,1,1,1,9,19,1,0,21,25,2,4,69,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,1,7,6,8,9,8,8,7,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77777777777778,6.88888888888889,7.66666666666667,8.44444444444444,7,7.66666666666667,7.66666666666667,6.88888888888889,0.888888888888889,0.777777777777778,7.20205524989807,6.39632314190681,6.97666853793315,7.80535949797903,7.14341693476241,7.03115494844141,7.20186655869385,6.1983721037608,28,25,1,1,42,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,20,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,7.44444444444444,8,7.11111111111111,8,6.88888888888889,6.88888888888889,5.44444444444444,0.444444444444444,1,6.67423603653652,7.00830812177336,7.92983355555661,8.07728476893038,8.18577806551898,7.73855066424435,7.32497496183058,6.76035297312488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
