"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal.2","goal.1","goal.6","goal.3","goal.4","goal.5","date.7","date.5","date.3","date.4","date.6","date.1","date.2","race.4","race.2","race.6","race.3","race.1","go_out.1","go_out.4","go_out.2","go_out.3","go_out.7","go_out.5","go_out.6","field_cd.1","field_cd.2","field_cd.13","field_cd.8","field_cd.5","field_cd.9","field_cd.3","field_cd.11","field_cd.12","field_cd.4","field_cd.7","field_cd.6","field_cd.10","field_cd.14","field_cd.16","field_cd.15","field_cd.17","field_cd.18","career_c.6","career_c.1","career_c.9","career_c.2","career_c.7","career_c.10","career_c.5","career_c.3","career_c.4","career_c.14","career_c.11","career_c.8","career_c.15","career_c.12","career_c.17","career_c.13","career_c.16","activityAvg","raterCount","rateeCount","tvsportsAdj","exerciseAdj","diningAdj","museumsAdj","artAdj","hikingAdj","gamingAdj","clubbingAdj","readingAdj","tvAdj","theaterAdj","moviesAdj","concertsAdj","musicAdj","shoppingAdj","yogaAdj","raterDecSum","raterAttrSum","raterSincSum","raterIntelSum","raterFunSum","raterAmbSum","raterSharSum","raterLikeSum","raterProbSum","rateeDecSum","rateeAttrSum","rateeSincSum","rateeIntelSum","rateeFunSum","rateeAmbSum","rateeSharSum","rateeLikeSum","rateeProbSum","goal.2.yRaterAvg","goal.2.yRateeAvg","decRaterAvg","decRateeAvg","decRaterAvgExc","decRateeAvgExc","decRaterAdj","decRateeAdj","attrRaterAvg","attrRateeAvg","attrRaterAvgExc","attrRateeAvgExc","attrRaterAdj","attrRateeAdj","sincRaterAvg","sincRateeAvg","sincRaterAvgExc","sincRateeAvgExc","sincRaterAdj","sincRateeAdj","intelRaterAvg","intelRateeAvg","intelRaterAvgExc","intelRateeAvgExc","intelRaterAdj","intelRateeAdj","funRaterAvg","funRateeAvg","funRaterAvgExc","funRateeAvgExc","funRaterAdj","funRateeAdj","ambRaterAvg","ambRateeAvg","ambRaterAvgExc","ambRateeAvgExc","ambRaterAdj","ambRateeAdj","sharRaterAvg","sharRateeAvg","sharRaterAvgExc","sharRateeAvgExc","sharRaterAdj","sharRateeAdj","likeRaterAvg","likeRateeAvg","likeRaterAvgExc","likeRateeAvgExc","likeRaterAdj","likeRateeAdj","probRaterAvg","probRateeAvg","probRaterAvgExc","probRateeAvgExc","probRaterAdj","probRateeAdj"
"1",11,1,1,1,10,4,1,1,0,0.14,0,2,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,0,6,8,8,8,8,6,7,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,2,-3,1,2,0,0,0,-1,4,-3,-1,3,2,3,0,-4,0,68,78,72,76,71,51,64,35,5,67,74,80,72,80,71,68.5,57,0,0.5,0,0.5,0,0.56,0,-0.56,6.8,6.7,6.89,6.78,-0.89,-0.78,7.8,7.4,7.78,7.33,0.22,0.67,7.2,8,7.11,8,0.89,0,7.6,7.2,7.56,7.11,0.44,0.89,7.1,8,7,8,1,0,5.1,7.1,5,7.22,1,-1.22,6.4,6.85,6.33,6.83,0.67,0.17,3.5,5.7,3.44,5.89,0.56,-1.89
"2",12,2,1,1,10,3,1,1,0,0.54,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,0,7,8,10,7,7,5,8,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,10,10,1.29,3.29,2.29,1.29,0.29,-2.71,-2.71,-0.71,0.29,0.29,-1.71,1.29,1.29,3.29,-0.71,-0.71,3,62,67,91,59,57,47,69,35,5,67,74,80,72,80,71,68.5,57,0.3,0.5,0.3,0.5,0.33,0.56,-0.33,-0.56,6.2,6.7,6.11,6.67,0.89,0.33,6.7,7.4,6.56,7.33,1.44,0.67,9.1,8,9,7.78,1,2.22,5.9,7.2,5.78,7.22,1.22,-0.22,5.7,8,5.56,8.11,1.44,-1.11,4.7,7.1,4.67,7.33,0.33,-2.33,6.9,6.85,6.78,6.72,1.22,1.28,3.5,5.7,3.44,5.89,0.56,-1.89
"3",13,3,1,1,10,10,1,1,1,0.16,1,1,22,1,25,4,3,5,42,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,1,10,10,10,10,10,10,10,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,10,10,1.71,-4.29,2.71,-1.29,-0.29,-2.29,0.71,0.71,-0.29,1.71,3.71,1.71,2.71,2.71,1.71,-5.29,8,80,80,80,80,80,80,80,80,5,67,74,80,72,80,71,68.5,57,0.8,0.5,0.8,0.5,0.78,0.44,0.22,0.56,8,6.7,7.78,6.33,2.22,3.67,8,7.4,7.78,7.11,2.22,2.89,8,8,7.78,7.78,2.22,2.22,8,7.2,7.78,6.89,2.22,3.11,8,8,7.78,7.78,2.22,2.22,8,7.1,7.78,6.78,2.22,3.22,8,6.85,7.78,6.5,2.22,3.5,8,5.7,7.78,5.22,2.22,4.78
"4",14,4,1,1,10,5,1,1,1,0.61,0,2,23,1,25,2,1,1,56,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,1,7,8,9,8,9,8,7,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,10,10,0.06,2.06,2.06,-2.94,-2.94,4.06,2.06,2.06,0.06,1.06,-2.94,4.06,0.06,2.06,0.06,-4.94,10,72,81,78,82,87,83,75,73,5,67,74,80,72,80,71,68.5,57,1,0.5,1,0.5,1,0.44,0,0.56,7.2,6.7,7.22,6.67,-0.22,0.33,8.1,7.4,8.11,7.33,-0.11,0.67,7.8,8,7.67,7.89,1.33,1.11,8.2,7.2,8.22,7.11,-0.22,0.89,8.7,8,8.67,7.89,0.33,1.11,8.3,7.1,8.33,7,-0.33,1,7.5,6.85,7.56,6.83,-0.56,0.17,7.3,5.7,7.33,5.56,-0.33,1.44
"5",15,5,1,1,10,7,1,1,1,0.21,0,2,24,1,25,3,3,1,36,1,4,1,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,1,8,7,9,6,9,7,8,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,10,10,1.12,3.12,1.12,-1.88,-2.88,0.12,1.12,3.12,2.12,0.12,3.12,3.12,0.12,1.12,-3.88,-4.88,9,76,85,88,75,80,66,77,49,5,67,74,80,72,80,71,68.5,57,0.9,0.5,0.9,0.5,0.89,0.44,0.11,0.56,7.6,6.7,7.56,6.56,0.44,1.44,8.5,7.4,8.67,7.44,-1.67,-0.44,8.8,8,8.78,7.89,0.22,1.11,7.5,7.2,7.67,7.33,-1.67,-1.33,8,8,7.89,7.89,1.11,1.11,6.6,7.1,6.56,7.11,0.44,-0.11,7.7,6.85,7.67,6.72,0.33,1.28,4.9,5.7,4.78,5.67,1.22,0.33
"6",16,6,1,1,10,6,1,1,0,0.25,0,2,25,8,25,2,9,2,42,1,5,1,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,1,7,7,8,8,7,7,7,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.41,10,10,-3.41,0.59,1.59,1.59,1.59,-0.41,-0.41,-0.41,2.59,-2.41,1.59,2.59,1.59,2.59,0.59,-4.41,8,66,70,72,69,71,68,64,61,5,67,74,80,72,80,71,68.5,57,0.8,0.5,0.8,0.5,0.78,0.44,0.22,0.56,6.6,6.7,6.56,6.67,0.44,0.33,7,7.4,7,7.44,0,-0.44,7.2,8,7.11,8,0.89,0,6.9,7.2,6.78,7.11,1.22,0.89,7.1,8,7.11,8.11,-0.11,-1.11,6.8,7.1,6.78,7.11,0.22,-0.11,6.4,6.85,6.33,6.83,0.67,0.17,6.1,5.7,6.11,5.67,-0.11,0.33
"7",17,7,1,1,10,1,1,1,0,0.34,0,2,30,13,25,2,1,1,38,3,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,0,3,6,7,5,8,7,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,10,10,-2.82,4.18,2.18,2.18,0.18,-0.82,-2.82,1.18,-0.82,-2.82,2.18,4.18,2.18,2.18,-2.82,-2.82,2,56,50,54,45,54,42,40,34,5,67,74,80,72,80,71,68.5,57,0.2,0.5,0.2,0.5,0.22,0.56,-0.22,-0.56,5.6,6.7,5.89,7.11,-2.89,-4.11,5,7.4,4.89,7.56,1.11,-1.56,5.4,8,5.22,8.11,1.78,-1.11,4.5,7.2,4.44,7.44,0.56,-2.44,5.4,8,5.11,8,2.89,0,4.2,7.1,3.89,7.11,3.11,-0.11,4,6.85,4.22,7.39,-2.22,-5.39,3.4,5.7,3.67,6.22,-2.67,-5.22
"8",18,8,1,1,10,2,1,1,0,0.5,0,2,27,8,25,2,8,8,52,1,6,1,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,0,6,7,5,6,8,6,7,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.41,10,10,0.59,0.59,4.59,-0.41,-1.41,-0.41,-0.41,-2.41,1.59,4.59,-1.41,4.59,-1.41,1.59,-2.41,-3.41,3,64,66,67,63,66,50,67,51,5,67,74,80,72,80,71,68.5,57,0.3,0.5,0.3,0.5,0.33,0.56,-0.33,-0.56,6.4,6.7,6.44,6.78,-0.44,-0.78,6.6,7.4,6.56,7.44,0.44,-0.44,6.7,8,6.89,8.33,-1.89,-3.33,6.3,7.2,6.33,7.33,-0.33,-1.33,6.6,8,6.44,8,1.56,0,5,7.1,4.89,7.22,1.11,-1.22,6.7,6.85,6.67,6.83,0.33,0.17,5.1,5.7,5.11,5.78,-0.11,-0.78
"9",19,9,1,1,10,8,1,1,1,0.28,0,2,28,8,25,2,1,1,42,4,1,1,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,20,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,1,7,7,8,8,8,9,6.5,8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.47,10,10,3.53,3.53,3.53,-1.47,-1.47,-0.47,0.53,2.53,1.53,-5.47,-5.47,0.53,0.53,0.53,0.53,3.53,10,70,70,76,83,76,77,72.5,75,5,67,74,80,72,80,71,68.5,57,1,0.5,1,0.5,1,0.44,0,0.56,7,6.7,7,6.67,0,0.33,7,7.4,7,7.44,0,-0.44,7.6,8,7.56,8,0.44,0,8.3,7.2,8.33,7.11,-0.33,0.89,7.6,8,7.56,8,0.44,0,7.7,7.1,7.56,6.89,1.44,2.11,7.25,6.85,7.33,6.89,-0.83,-0.39,7.5,5.7,7.44,5.44,0.56,2.56
"10",20,10,1,1,10,9,1,1,0,-0.36,0,2,24,8,25,2,1,1,42,1,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,19,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,0,6,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.41,10,10,2.59,2.59,2.59,1.59,1.59,-3.41,2.59,2.59,0.59,-4.41,0.59,0.59,-1.41,-1.41,-2.41,2.59,1,60,73,75,65,79,65,62,72,5,67,74,80,72,80,71,68.5,57,0.1,0.5,0.1,0.5,0.11,0.56,-0.11,-0.56,6,6.7,6,6.78,0,-0.78,7.3,7.4,7.44,7.56,-1.44,-1.56,7.5,8,7.67,8.22,-1.67,-2.22,6.5,7.2,6.56,7.33,-0.56,-1.33,7.9,8,8.11,8.22,-2.11,-2.22,6.5,7.1,6.56,7.22,-0.56,-1.22,6.2,6.85,6.22,6.94,-0.22,-0.94,7.2,5.7,7.33,5.67,-1.33,0.33
