"","X","iid","id","gender","wave","round","order","partner","pid","match","sameRace","age","fieldCD","race","imprace","imprelig","goal","date","goOut","careerCD","exphappy","expnum","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","decRating","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","probRating","met","youCall","themCall","dateAfter","numDatesAfter","careerLaw","careerAcad","careerPsych","careerMed","careerEngin","careerCreative","careerCorp","careerRealEstate","careerIntAffairs","careerUnd","careerSpeech","careerPolitics","careerSports","careerOther","careerJourn","careerArch","date3","date4","date5","date6","date7","fieldLaw","fieldMath","fieldSocialSci","fieldMed","fieldEngin","fieldEng","fieldHum","fieldBusEconFin","fieldEducAca","fieldSci","fieldSocWork","fieldUnd","fieldPoliSci","fieldFilm","fieldArts","fieldLang","fieldArch","fieldOther","goalfunNight","goalMeetNew","goalGetDate","goalSerRel","goalSayDid","goalOther","goOut1","goOut2","goOut3","goOut4","raceBlack","raceWhite","raceLatino","raceAsian","raceNativeAmer","raceOther"
"1",201,21,1,0,2,16,6,1,40,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,7,9,5,7,9,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"2",202,21,1,0,2,16,7,2,41,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,8,7,5,9,5,7,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"3",203,21,1,0,2,16,8,3,42,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1,8,9,8,8,7,6,9,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"4",204,21,1,0,2,16,11,4,43,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,5,8,8,4,9,3,6,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"5",205,21,1,0,2,16,15,5,44,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,7,7,8,5,7,2,6,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"6",206,21,1,0,2,16,2,6,45,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,8,6,8,4,5,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"7",207,21,1,0,2,16,5,7,46,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,6,8,8,6,8,5,8,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"8",208,21,1,0,2,16,12,8,47,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,4,7,7,4,7,3,5,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"9",209,21,1,0,2,16,16,9,48,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,7,7,7,5,6,3,6,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"10",210,21,1,0,2,16,3,10,49,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1,9,9,10,9,9,8,9,5,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
