"","X.1","X","iidW","idW","wave","idM","iidM","match","sameRace","ageW","tuitionWealthIndW","impraceW","impreligW","incomeWealthIndW","dateW","goOutW","sportsPhysActW","tvsportsMiscActW","exercisePhysActW","diningWealthIndW","museumsArtActW","artArtActW","hikingPhysActW","gamingMiscActW","clubbingMiscActW","readingArtActW","tvMiscActW","theaterArtActW","moviesArtActW","concertsMiscActW","musicArtActW","shoppingWealthIndW","yogaPhysActW","exphappyW","expnumW","attrPrefW","sincPrefW","intelPrefW","funPrefW","ambPrefW","sharPrefW","decW","attrRatingM","sincRatingM","intelRatingM","funRatingM","ambRatingM","sharRatingM","likeRatingM","probRatingM","metW","goalMeetNewW","goalFunNightW","date7W","date5W","date3W","date4W","date6W","raceAsianW","raceWhiteW","raceLatinoW","fieldLawW","fieldPoliSciW","fieldBusinessW","fieldScienceW","careerLawW","careerAcademicW","careerFinanceW","attrAvgRatingM","sincAvgRatingM","intelAvgRatingM","funAvgRatingM","ambAvgRatingM","sharAvgRatingM","likeAvgRatingM","probAvgRatingM","decAvgM","raterDecAvgW","attrRatingGuessM","sincRatingGuessM","intelRatingGuessM","funRatingGuessM","ambRatingGuessM","sharRatingGuessM","likeRatingGuessM","probRatingGuessM","ageM","tuitionWealthIndM","impraceM","impreligM","incomeWealthIndM","dateM","goOutM","sportsPhysActM","tvsportsMiscActM","exercisePhysActM","diningWealthIndM","museumsArtActM","artArtActM","hikingPhysActM","gamingMiscActM","clubbingMiscActM","readingArtActM","tvMiscActM","theaterArtActM","moviesArtActM","concertsMiscActM","musicArtActM","shoppingWealthIndM","yogaPhysActM","exphappyM","expnumM","attrPrefM","sincPrefM","intelPrefM","funPrefM","ambPrefM","sharPrefM","decM","attrRatingW","sincRatingW","intelRatingW","funRatingW","ambRatingW","sharRatingW","likeRatingW","probRatingW","metM","goalMeetNewM","goalFunNightM","date7M","date5M","date3M","date4M","date6M","raceAsianM","raceWhiteM","raceLatinoM","fieldLawM","fieldPoliSciM","fieldBusinessM","fieldScienceM","careerLawM","careerAcademicM","careerFinanceM","attrAvgRatingW","sincAvgRatingW","intelAvgRatingW","funAvgRatingW","ambAvgRatingW","sharAvgRatingW","likeAvgRatingW","probAvgRatingW","decAvgW","raterDecAvgM","attrRatingGuessW","sincRatingGuessW","intelRatingGuessW","funRatingGuessW","ambRatingGuessW","sharRatingGuessW","likeRatingGuessW","probRatingGuessW","matchAvgM","matchAvgW","avgWaveDecM","avgWaveDecW","avgWaveMatch","numMen","numWomen","avgDecMPair","avgDecWPair","avgMatchPair","careersWomanProbDecM","careersWomanProbDecW","careersWomanProbMatch","careersManProbDecM","careersManProbDecW","careersManProbMatch","careersCrossProbDecM","careersCrossProbDecW","careersCrossProbMatch","careerAcademicM_careerAcademicWCross","careerFinanceM_careerAcademicWCross","datesWomanProbDecM","datesWomanProbDecW","datesWomanProbMatch","datesManProbDecM","datesManProbDecW","datesManProbMatch","datesCrossProbDecM","datesCrossProbDecW","datesCrossProbMatch","date4M_date6WCross","date6M_date6WCross","fieldsWomanProbDecM","fieldsWomanProbDecW","fieldsWomanProbMatch","fieldsManProbDecM","fieldsManProbDecW","fieldsManProbMatch","fieldsCrossProbDecM","fieldsCrossProbDecW","fieldsCrossProbMatch","goalsWomanProbDecM","goalsWomanProbDecW","goalsWomanProbMatch","goalsManProbDecM","goalsManProbDecW","goalsManProbMatch","goalsCrossProbDecM","goalsCrossProbDecW","goalsCrossProbMatch","goalMeetNewM_goalMeetNewWCross","goalMeetNewM_goalFunNightWCross","goalFunNightM_goalMeetNewWCross","goalFunNightM_goalFunNightWCross","racesWomanProbDecM","racesWomanProbDecW","racesWomanProbMatch","racesManProbDecM","racesManProbDecW","racesManProbMatch","racesCrossProbDecM","racesCrossProbDecW","racesCrossProbMatch","raceAsianM_raceWhiteWCross","raceWhiteM_raceAsianWCross","raceWhiteM_raceWhiteWCross","baseProbDecM","betterProbDecM","baseProbDecW","betterProbDecW","baselineConjunction","betterConjunction","bestProbMatch"
"1",21,21,142,1,7,1,158,0,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,0,4,5,6,4,6,4,4,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4.4375,6.3125,7.625,4.1875,7,4.625,4.125,4.25,0,0.8125,4.99138516729874,7.1042840579896,8.06659108031175,5.74764140290919,7.48869693251663,5.47944672770306,6.03347840051115,6.53251910739382,23,25,3,4,37,6,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,7,4,19.05,19.05,19.05,19.05,9.52,14.29,1,10,8,8,7,7,5,9,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.9375,7.125,7.625,6.8125,6.5,5.75,6.5625,5,0.5,1,8.12581344717542,7.7425685454173,8.30941715385063,7.12766033322634,6.71028194690329,6.58985386140157,7.76236330096788,5.01040920228951,0,0.5,0.53515625,0.32421875,0.16796875,16,16,0.707106781186548,0,0.292893218813452,0.538002980625931,0.311475409836066,0.162444113263785,0.533333333333333,0.277519379844961,0.153488372093023,0.496350364963504,0.346715328467153,0.178832116788321,1,0,0.587078651685393,0.306179775280899,0.171348314606742,0.529520295202952,0.265682656826568,0.142066420664207,0.570175438596491,0.271929824561404,0.12280701754386,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.518691588785047,0.329439252336449,0.161214953271028,0.555555555555556,0.238095238095238,0.126984126984127,0.570217917675545,0.290556900726392,0.171912832929782,0.875,0.1875,0.125,0.866666666666667,0.0666666666666667,0.0333333333333333,0,0,0,0,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.913948491734859,0.978449650934057,0.431487196371796,0.0771836780923688,0.394357072326906,0.111328316091133,0.0771836780923688
"2",22,22,142,1,7,10,167,1,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,8,8,8,8,8,8,8,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,5.6875,6.6875,7.4375,6.6875,6.5625,5.625,5.75,4.625,0.1875,0.75,6.21613257037519,7.27248128809907,7.78541177140192,7.72388509883333,6.66627357132629,5.8858670622129,7.11006189458189,6.48523980007883,23,25,1,1,47,6,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,4,18.6,13.95,18.6,16.28,16.28,16.28,1,7,6,7,6,4,4,6,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,7.125,7.3125,7.75,6.75,6.8125,5.875,6.625,5.3125,0.5,0.5625,6.21775399798972,6.30286300475131,6.51502062929623,5.59305134354979,5.11391371980592,4.76513261928873,5.73769627375457,4.51650376260994,0.125,0.375,0.53515625,0.31640625,0.1640625,16,16,0.530330085889911,0.375,0.260490027112548,0.538002980625931,0.311475409836066,0.162444113263785,0.533333333333333,0.277519379844961,0.153488372093023,0.496350364963504,0.346715328467153,0.178832116788321,1,0,0.587078651685393,0.306179775280899,0.171348314606742,0.529520295202952,0.265682656826568,0.142066420664207,0.570175438596491,0.271929824561404,0.12280701754386,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.518691588785047,0.329439252336449,0.161214953271028,0.555555555555556,0.238095238095238,0.126984126984127,0.570217917675545,0.290556900726392,0.171912832929782,0.487421383647799,0.297169811320755,0.133647798742138,0.522184300341297,0.293515358361775,0.146757679180887,0,1,0,0,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.547117813526394,0.60413867466765,0.600363455949994,0.672502379642845,0.32846954134051,0.406284696348269,0.406286270536534
"3",23,23,142,1,7,11,168,1,0,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,6,9,9,10,9,10,10,10,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4.6875,7.375,7.625,6.1875,6.5,5.3125,5.5,5.1875,0.125,0.75,5.01240331420409,7.71089582036868,8.04832109169772,7.26887971139946,6.85616465690866,5.89169224063875,6.89554950388579,7.15367890028564,23,25,1,1,22,4,2,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,5,4,11.11,17.78,17.78,17.78,17.78,17.78,1,8,8,7,7,7,8,8,9,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7.1875,7.125,7.625,6.625,6.75,5.5625,6.5,4.6875,0.5625,0.625,7.18345456126965,6.72473673548288,7.42094824966018,6.91786529714969,6.51443868416963,6.34681372144676,6.9319905698804,6.47652980439497,0,0.375,0.53515625,0.31640625,0.1640625,16,16,0.592927061281571,0.306186217847897,0.209430584957905,0.538002980625931,0.311475409836066,0.162444113263785,0.387096774193548,0.419354838709677,0.0645161290322581,0.266666666666667,0.4,0,0,0,0.587078651685393,0.306179775280899,0.171348314606742,0.611842105263158,0.322368421052632,0.192982456140351,0.674418604651163,0.290697674418605,0.186046511627907,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.518691588785047,0.329439252336449,0.161214953271028,0.555555555555556,0.238095238095238,0.126984126984127,0.570217917675545,0.290556900726392,0.171912832929782,0.568126520681265,0.285888077858881,0.165450121654501,0.592696629213483,0.286516853932584,0.182584269662921,0,0,0,1,0.55767397521449,0.270734032411821,0.136320305052431,0.583959899749373,0.197994987468672,0.12531328320802,0.613333333333333,0.168888888888889,0.12,1,0,0,0.689206375573318,0.716024911580452,0.523843203296331,0.290423580876506,0.361036075512581,0.207950518817978,0.259913923801794
"4",24,24,142,1,7,12,169,1,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,10,10,10,10,10,10,10,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7.9375,7.875,8.3125,7.625,7.3125,6.5625,7.4375,5.25,0.8125,0.75,8.14334019253003,8.44142114117379,8.49823124087786,8.64333908074592,7.70702759841218,7.40221971621039,8.96611739559335,7.34636794538758,28,25,2,3,31,6,2,10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,6,4,17.78,20,17.78,15.56,15.56,13.33,1,8,8,9,8,7,8,8,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,7.0625,7.1875,7.5625,6.4375,6.5625,5.625,6.5625,5.0625,0.5625,0.3125,8.37165549930681,7.68565464650533,8.48058189451396,7.46775439628338,7.92468360063179,7.15991077137854,8.1430043866162,7.67084658712161,0.25,0.375,0.53515625,0.3203125,0.1640625,16,16,0.419262745781211,0.7806247497998,0.315346803118542,0.538002980625931,0.311475409836066,0.162444113263785,0.533333333333333,0.277519379844961,0.153488372093023,0.496350364963504,0.346715328467153,0.178832116788321,1,0,0.587078651685393,0.306179775280899,0.171348314606742,0.529520295202952,0.265682656826568,0.142066420664207,0.570175438596491,0.271929824561404,0.12280701754386,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.518691588785047,0.329439252336449,0.161214953271028,0.555555555555556,0.238095238095238,0.126984126984127,0.570217917675545,0.290556900726392,0.171912832929782,0.487421383647799,0.297169811320755,0.133647798742138,0.522184300341297,0.293515358361775,0.146757679180887,0,1,0,0,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.319450159546708,0.281095503709769,0.970523949583974,0.907571152114821,0.310034030538501,0.255114170156171,0.328630393809352
"5",25,25,142,1,7,13,170,0,0,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,0,4,7,7,9,8,7,9,10,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4.3125,7.5,8.3125,4.875,7.5,5.125,5.25,4.75,0,0.8125,4.92843279939606,7.76935663254915,8.57861368555695,5.67974459431028,7.98263038301026,6.07774137673065,6.89014683795489,6.74373956635228,28,25,2,1,42,5,3,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,6,4,16.28,20.93,18.6,18.6,13.95,11.63,1,7,7,7,7,5,7,7,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7.375,7.3125,7.8125,6.5625,6.75,5.75,6.625,5.0625,0.5625,0.8125,6.7161677273155,6.70406388402245,7.09207842352757,6.08699358156397,6.4116131511748,5.93750865612393,5.99449309769404,5.12182643784771,0,0.4375,0.53515625,0.3203125,0.16796875,16,16,0.676040864149498,0,0.25,0.538002980625931,0.311475409836066,0.162444113263785,0.647887323943662,0.23943661971831,0.0985915492957746,0.678571428571429,0.214285714285714,0.142857142857143,0,0,0.587078651685393,0.306179775280899,0.171348314606742,0.443213296398892,0.235457063711911,0.0914127423822715,0.485294117647059,0.338235294117647,0.161764705882353,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.518691588785047,0.329439252336449,0.161214953271028,0.555555555555556,0.238095238095238,0.126984126984127,0.570217917675545,0.290556900726392,0.171912832929782,0.568126520681265,0.285888077858881,0.165450121654501,0.592696629213483,0.286516853932584,0.182584269662921,0,0,0,1,0.55767397521449,0.270734032411821,0.136320305052431,0.583959899749373,0.197994987468672,0.12531328320802,0.613333333333333,0.168888888888889,0.12,1,0,0,0.84916135308922,0.864892345226283,0.438385029065918,0.281697322112162,0.372259624455672,0.243637857565551,0.400582577372496
"6",26,26,142,1,7,14,171,1,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,4,10,9,5,6,2,7,10,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,5.8125,7.5625,8.125,5.8125,7.5625,5.8125,6.4375,5.375,0.3125,0.75,6.42739634912025,8.12415559811975,8.41548799963583,7.12669209803229,8.10695631391119,6.63369642747802,7.59584103657586,7.23346745789351,29,25,1,1,42,4,2,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,8,4,19.57,10.87,19.57,19.57,19.57,10.87,1,7,8,9,9,8,7,7,7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,7.375,7.1875,7.625,6.5625,6.4375,5.625,6.5625,5,0.5625,0.875,7.6152417136554,7.37397041722776,8.29728277795018,7.21458544705965,7.51184708924806,5.56044265895243,7.46267397831197,6.40671775765391,0.1875,0.4375,0.53515625,0.31640625,0.1640625,16,16,0.701560760020114,0.484122918275927,0.323959135850502,0.538002980625931,0.311475409836066,0.162444113263785,0.595,0.268333333333333,0.163333333333333,0.606481481481482,0.273148148148148,0.152777777777778,0,1,0.587078651685393,0.306179775280899,0.171348314606742,0.611842105263158,0.322368421052632,0.192982456140351,0.674418604651163,0.290697674418605,0.186046511627907,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.491773308957952,0.274223034734918,0.137111517367459,0.566037735849057,0.226415094339623,0.132075471698113,0.570217917675545,0.290556900726392,0.171912832929782,0.568126520681265,0.285888077858881,0.165450121654501,0.592696629213483,0.286516853932584,0.182584269662921,0,0,0,1,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.884788677590685,0.891880258501393,0.736925357391248,0.498627994081451,0.652023212449245,0.444716464257396,0.558679052421306
"7",27,27,142,1,7,15,172,1,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,8,7,8,8,8,8,8,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7,7.8125,8.1875,7.5,8.125,6.75,7.375,6.1875,0.5,0.75,7.06181619484114,8.54178928341894,8.33821344152252,7.53896173679276,8.41004620645644,8.31604071372875,8.54788575891081,7.93610754142676,27,25,5,7,42,3,1,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,5,4,17.78,17.78,22.22,20,15.56,6.67,1,8,7,6,7,7,6,6,6,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,7.25,7.1875,7.75,6.5,6.625,5.8125,6.6875,5.125,0.5,0.5,6.17111577033864,6.24111423389842,7.71586166231552,5.26200797574654,6.20147064791313,4.70776419137634,5.34700759952851,5.09429171339832,0.25,0.4375,0.53515625,0.31640625,0.1640625,16,16,0.5,0.612372435695794,0.350480947161671,0.538002980625931,0.311475409836066,0.162444113263785,0.595,0.268333333333333,0.163333333333333,0.606481481481482,0.273148148148148,0.152777777777778,0,1,0.587078651685393,0.306179775280899,0.171348314606742,0.616740088105727,0.370044052863436,0.215859030837004,0.604651162790698,0.418604651162791,0.255813953488372,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.491773308957952,0.274223034734918,0.137111517367459,0.566037735849057,0.226415094339623,0.132075471698113,0.570217917675545,0.290556900726392,0.171912832929782,0.568126520681265,0.285888077858881,0.165450121654501,0.592696629213483,0.286516853932584,0.182584269662921,0,0,0,1,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.469659784690117,0.417743296241636,0.877035567827906,0.850661410814665,0.411908335951629,0.355358101739279,0.38283533007094
"8",28,28,142,1,7,16,173,1,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,6,4,8,9,9,9,8,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,6.0625,7.5625,8.125,7.5,7.125,6.375,6.5625,5.875,0.3125,0.75,6.65637919594003,8.40591506741719,8.47823338070384,8.47929223220552,7.25724120173401,7.16870132584705,8.41462377241765,7.83240331556286,22,25,5,7,42,4,1,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,4,18.37,18.37,20.41,20.41,16.33,6.12,1,8,7,7,7,5,5,7,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7.3125,7.1875,7.6875,6.6875,6.6875,5.875,6.5625,5.125,0.5625,0.5,6.58239162983306,6.55627219024766,6.54442227829208,6.49303202516054,6.08702011937122,5.82256476160386,5.91630959145885,4.60916313053818,0.25,0.375,0.5390625,0.3203125,0.1640625,16,16,0.530330085889911,0.484122918275927,0.315346803118542,0.538002980625931,0.311475409836066,0.162444113263785,0.533333333333333,0.277519379844961,0.153488372093023,0.496350364963504,0.346715328467153,0.178832116788321,1,0,0.587078651685393,0.306179775280899,0.171348314606742,0.611842105263158,0.322368421052632,0.192982456140351,0.674418604651163,0.290697674418605,0.186046511627907,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.517857142857143,0.107142857142857,0.0714285714285714,0.530330085889911,0.484122918275927,0.315346803118542,0.570217917675545,0.290556900726392,0.171912832929782,0.568126520681265,0.285888077858881,0.165450121654501,0.592696629213483,0.286516853932584,0.182584269662921,0,0,0,1,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.536874520792777,0.376542436230522,0.731448032126635,0.769588949977171,0.392695811732807,0.289782898120493,0.686995412333082
"9",29,29,142,1,7,2,159,1,1,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,5,10,9,8,7,5,9,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3.875,7.0625,7.9375,5.875,7.125,4.75,4.75,4.875,0.0625,0.75,4.39407581311527,7.48729568357727,8.24739889247696,6.86076996295457,7.62984820325749,5.71874877484173,6.19184549339219,7.01687976069401,28,25,7,2,42,6,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,4,15.91,20.45,20.45,20.45,11.36,11.36,1,7,7,7,6,7,4,7,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,7.375,7.1875,7.6875,6.75,6.6875,5.8125,6.5625,4.9375,0.5,0.5625,7.39685396299203,7.39758805720613,7.46729942425065,6.29657343283238,6.20527332831373,6.0829938334627,6.777718043861,4.89180801127533,0.0625,0.375,0.5390625,0.3203125,0.1640625,16,16,0.530330085889911,0.21650635094611,0.234534455380257,0.538002980625931,0.311475409836066,0.162444113263785,0.533333333333333,0.277519379844961,0.153488372093023,0.496350364963504,0.346715328467153,0.178832116788321,1,0,0.587078651685393,0.306179775280899,0.171348314606742,0.529520295202952,0.265682656826568,0.142066420664207,0.570175438596491,0.271929824561404,0.12280701754386,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.518691588785047,0.329439252336449,0.161214953271028,0.555555555555556,0.238095238095238,0.126984126984127,0.570217917675545,0.290556900726392,0.171912832929782,0.568126520681265,0.285888077858881,0.165450121654501,0.592696629213483,0.286516853932584,0.182584269662921,0,0,0,1,0.55767397521449,0.270734032411821,0.136320305052431,0.512866015971606,0.32209405501331,0.157054125998225,0.530612244897959,0.317111459968603,0.141287284144427,0,0,1,0.540280378591921,0.685320653421444,0.439262326464229,0.374198983619616,0.237324816043261,0.256446291963836,0.285277693613001
"10",30,30,142,1,7,3,160,0,0,24,25,1,4,50,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,1,8,8,8,8,10,6,8,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7.375,7.3125,7.4375,8,7.875,6.125,6.625,5.8125,0.1875,0.75,8.19955868684317,7.83624629564072,7.72783235450654,9.20951163810127,8.11371584706617,3.08540793766805,7.40982502173673,7.32337325360759,29,25,3,4,28,5,2,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,4,16,18,18,18,14,16,0,6,9,8,7,9,6,6,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4375,7.125,7.625,6.6875,6.4375,5.625,6.625,5,0.5625,0.5625,7.38567166420574,7.78946037592629,8.20320122684872,7.37639314779703,7.55641310768072,5.78880768086951,6.2956659559238,5.93560986224994,0.1875,0.4375,0.5390625,0.3203125,0.16796875,16,16,0.5625,0.375,0.323959135850502,0.538002980625931,0.311475409836066,0.162444113263785,0.1875,0.5625,0.1875,0.5625,0.375,0.323959135850502,0,0,0.587078651685393,0.306179775280899,0.171348314606742,0.443213296398892,0.235457063711911,0.0914127423822715,0.485294117647059,0.338235294117647,0.161764705882353,0,0,0.565217391304348,0.217391304347826,0.135869565217391,0.491773308957952,0.274223034734918,0.137111517367459,0.566037735849057,0.226415094339623,0.132075471698113,0.570217917675545,0.290556900726392,0.171912832929782,0.487421383647799,0.297169811320755,0.133647798742138,0.522184300341297,0.293515358361775,0.146757679180887,0,1,0,0,0.55767397521449,0.270734032411821,0.136320305052431,0.619469026548673,0.407079646017699,0.247787610619469,0.655737704918033,0.311475409836066,0.180327868852459,0,0,0,0.612612866247233,0.454870529316572,0.593610824098806,0.772440292418499,0.363653628386552,0.35136032467785,0.356875947731246
