"","X.2","X.1","X","iid_W","id_W","wave_W","partner_W","pid_W","samerace_W","match","gender_W","order_W","age_W","tuition_W","race_W","imprace_W","imprelig_W","income_W","goal_W","date_W","go_out_W","sportsAct_W","tvsportsAct_W","exerciseAct_W","diningAct_W","museumsAct_W","artAct_W","hikingAct_W","gamingAct_W","clubbingAct_W","readingAct_W","tvAct_W","theaterAct_W","moviesAct_W","concertsAct_W","musicAct_W","shoppingAct_W","yogaAct_W","exphappy_W","attrPref_W","sincPref_W","intelPref_W","funPref_W","ambPref_W","sharPref_W","dec_W","attrRating_W_of_M","sincRating_W_of_M","intelRating_W_of_M","funRating_W_of_M","ambRating_W_of_M","sharRating_W_of_M","likeRating_W_of_M","prob_W","met_W","goalMeetNew_W","goalFunNight_W","goalOther_W","goalGetDate_W","goalSeriousRel_W","goalSayDid_W","date7_W","date5_W","date3_W","date4_W","date6_W","date1_W","date2_W","raceAsian_W","raceWhite_W","rateOther_W","raceLatino_W","raceBlack_W","go_out1_W","go_out4_W","go_out2_W","go_out3_W","go_out7_W","go_out5_W","go_out6_W","fieldLaw_W","fieldMath_W","fieldPoliSci_W","fieldBusiness_W","fieldEngin_W","fieldAcademia_W","fieldSocialSci_W","fieldSocialWork_W","fieldUndecided_W","fieldMedicine_W","fieldHistReligPhil_W","fieldEnglish_W","fieldScience_W","fieldFilm_W","fieldLanguages_W","fieldArts_W","fieldArch_W","fieldOther_W","careerCreative_W","careerLaw_W","careerInternational_W","careerAcademic_W","careerFinance_W","careerUndecided_W","careerEngineer_W","careerPsychology_W","careerMedicine_W","careerSports_W","careerSocialWork_W","careerRealEstate_W","careerOther_W","careerSpeech_W","careerArch_W","careerPolitics_W","careerJourn_W","activityAvg_W","raterDecSum_W","decSum_W","attrRatingAvg_W_of_M","sincRatingAvg_W_of_M","intelRatingAvg_W_of_M","funRatingAvg_W_of_M","ambRatingAvg_W_of_M","sharRatingAvg_W_of_M","likeRatingAvg_W_of_M","decAvg_W_of_M","raterDecAvg_W","attrRatingGuess_W_of_M","sincRatingGuess_W_of_M","intelRatingGuess_W_of_M","funRatingGuess_W_of_M","ambRatingGuess_W_of_M","sharRatingGuess_W_of_M","likeRatingGuess_W_of_M","gender_M","order_M","age_M","tuition_M","race_M","imprace_M","imprelig_M","income_M","goal_M","date_M","go_out_M","sportsAct_M","tvsportsAct_M","exerciseAct_M","diningAct_M","museumsAct_M","artAct_M","hikingAct_M","gamingAct_M","clubbingAct_M","readingAct_M","tvAct_M","theaterAct_M","moviesAct_M","concertsAct_M","musicAct_M","shoppingAct_M","yogaAct_M","exphappy_M","attrPref_M","sincPref_M","intelPref_M","funPref_M","ambPref_M","sharPref_M","dec_M","attrRating_M_of_W","sincRating_M_of_W","intelRating_M_of_W","funRating_M_of_W","ambRating_M_of_W","sharRating_M_of_W","likeRating_M_of_W","prob_M","met_M","goalMeetNew_M","goalFunNight_M","goalOther_M","goalGetDate_M","goalSeriousRel_M","goalSayDid_M","date7_M","date5_M","date3_M","date4_M","date6_M","date1_M","date2_M","raceAsian_M","raceWhite_M","rateOther_M","raceLatino_M","raceBlack_M","go_out1_M","go_out4_M","go_out2_M","go_out3_M","go_out7_M","go_out5_M","go_out6_M","fieldLaw_M","fieldMath_M","fieldPoliSci_M","fieldBusiness_M","fieldEngin_M","fieldAcademia_M","fieldSocialSci_M","fieldSocialWork_M","fieldUndecided_M","fieldMedicine_M","fieldHistReligPhil_M","fieldEnglish_M","fieldScience_M","fieldFilm_M","fieldLanguages_M","fieldArts_M","fieldArch_M","fieldOther_M","careerCreative_M","careerLaw_M","careerInternational_M","careerAcademic_M","careerFinance_M","careerUndecided_M","careerEngineer_M","careerPsychology_M","careerMedicine_M","careerSports_M","careerSocialWork_M","careerRealEstate_M","careerOther_M","careerSpeech_M","careerArch_M","careerPolitics_M","careerJourn_M","activityAvg_M","raterDecSum_M","decSum_M","attrRatingAvg_M_of_W","sincRatingAvg_M_of_W","intelRatingAvg_M_of_W","funRatingAvg_M_of_W","ambRatingAvg_M_of_W","sharRatingAvg_M_of_W","likeRatingAvg_M_of_W","decAvg_M_of_W","raterDecAvg_M","attrRatingGuess_M_of_W","sincRatingGuess_M_of_W","intelRatingGuess_M_of_W","funRatingGuess_M_of_W","ambRatingGuess_M_of_W","sharRatingGuess_M_of_W","likeRatingGuess_M_of_W","raceAsian_M_Cross_raceAsian_W","raceAsian_M_Cross_raceWhite_W","raceAsian_M_Cross_raceLatino_W","raceAsian_M_Cross_raceBlack_W","raceWhite_M_Cross_raceAsian_W","raceWhite_M_Cross_raceWhite_W","raceWhite_M_Cross_raceLatino_W","raceWhite_M_Cross_raceBlack_W","raceLatino_M_Cross_raceAsian_W","raceLatino_M_Cross_raceWhite_W","raceBlack_M_Cross_raceAsian_W","raceBlack_M_Cross_raceWhite_W","careerCreative_M_Cross_careerInternational_W","careerCreative_M_Cross_careerAcademic_W","careerCreative_M_Cross_careerFinance_W","careerLaw_M_Cross_careerCreative_W","careerLaw_M_Cross_careerLaw_W","careerLaw_M_Cross_careerInternational_W","careerLaw_M_Cross_careerAcademic_W","careerLaw_M_Cross_careerFinance_W","careerFinance_M_Cross_careerCreative_W","careerFinance_M_Cross_careerLaw_W","careerFinance_M_Cross_careerInternational_W","careerFinance_M_Cross_careerAcademic_W","careerFinance_M_Cross_careerFinance_W","careerFinance_M_Cross_careerUndecided_W","careerFinance_M_Cross_careerPsychology_W","careerFinance_M_Cross_careerMedicine_W","careerFinance_M_Cross_careerSocialWork_W","careerUndecided_M_Cross_careerAcademic_W","careerMedicine_M_Cross_careerAcademic_W","fieldLaw_M_Cross_fieldLaw_W","fieldLaw_M_Cross_fieldAcademia_W","fieldLaw_M_Cross_fieldSocialSci_W","fieldLaw_M_Cross_fieldSocialWork_W","fieldPoliSci_M_Cross_fieldPoliSci_W","fieldPoliSci_M_Cross_fieldBusiness_W","fieldPoliSci_M_Cross_fieldAcademia_W","fieldPoliSci_M_Cross_fieldScience_W","fieldBusiness_M_Cross_fieldLaw_W","fieldBusiness_M_Cross_fieldPoliSci_W","fieldBusiness_M_Cross_fieldBusiness_W","fieldBusiness_M_Cross_fieldEngin_W","fieldBusiness_M_Cross_fieldAcademia_W","fieldBusiness_M_Cross_fieldSocialSci_W","fieldBusiness_M_Cross_fieldSocialWork_W","fieldBusiness_M_Cross_fieldEnglish_W","fieldBusiness_M_Cross_fieldScience_W","fieldBusiness_M_Cross_fieldLanguages_W","fieldEngin_M_Cross_fieldEngin_W","fieldEngin_M_Cross_fieldAcademia_W","fieldEngin_M_Cross_fieldSocialSci_W","fieldEngin_M_Cross_fieldSocialWork_W","fieldEngin_M_Cross_fieldEnglish_W","fieldEngin_M_Cross_fieldScience_W","fieldEngin_M_Cross_fieldLanguages_W","fieldScience_M_Cross_fieldPoliSci_W","fieldScience_M_Cross_fieldBusiness_W","fieldScience_M_Cross_fieldHistReligPhil_W","fieldScience_M_Cross_fieldScience_W","menRacesPred_dec_M_Lin","womenRacesPred_dec_M_Lin","menRacesPred_dec_W_Lin","womenRacesPred_dec_W_Lin","menRacesPred_match_Lin","womenRacesPred_match_Lin","raceCompositePred_dec_M_Lin","raceCompositePred_dec_W_Lin","raceCompositePred_match_Lin"
"1",277,277,277,174,1,8,1,184,0,1,0,9,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,6,6,6,6,6,6,6,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,8,6.33333333333333,7.66666666666667,7.44444444444444,6.55555555555556,7.22222222222222,6.44444444444444,6.33333333333333,0.777777777777778,0.888888888888889,6.22589346065154,6.56069609881827,6.3782793966363,6.03996085883514,6.52122086288972,6.52058994340402,6.81549364105618,1,9,34,25,2,1,1,32,2,4,2,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,9,16.67,16.67,16.67,16.67,16.67,16.67,1,8,10,10,8,6,7,7,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,4.55555555555556,7.33333333333333,6.88888888888889,5.88888888888889,5.44444444444444,6.22222222222222,4.88888888888889,0.111111111111111,0.555555555555556,4.80392479295756,9.2665111354201,8.39840263159175,7.0880520986767,6.982174408551,6.79157655723757,6.28229694821228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57167992132682,0.564763038646683,0.567822910946699,0.441911056138349,0.314879535427552,0.230262288061437,0.537607538618068,0.575873362710048,0.258612024093249
"2",278,278,278,174,1,8,10,193,1,0,0,7,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,6,5,6,7,7,7,7,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,5,6.11111111111111,7.44444444444444,7.66666666666667,7.11111111111111,7.33333333333333,6.33333333333333,6.66666666666667,0.444444444444444,0.888888888888889,5.79277035800831,6.67282981589503,6.58221693645335,6.6519048421193,6.41722727454597,6.63823084842152,6.99498876578371,1,7,25,25,4,2,2,35,1,6,2,8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,4,20.93,16.28,23.26,16.28,11.63,11.63,0,3,9,7,5,6,6,7,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58823529411765,4,2,5.11111111111111,7.44444444444444,7.22222222222222,6.22222222222222,5.44444444444444,6.33333333333333,4.88888888888889,0.222222222222222,0.444444444444444,4.77014755807502,8.39990037457124,7.7953289350663,5.62417200388296,5.91016316037533,7.46625135817815,6.36944342846085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600580807133611,0.500534624436377,0.252857104354461,0.533488767255791,0.158541020346447,0.254886097874178,0.520994400537715,0.231590471347471,0.253796480636047
"3",279,279,279,174,1,8,2,185,1,0,0,5,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,0,5,5,5,5,5,6,5,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,2,5,5.88888888888889,6.33333333333333,5.44444444444444,6.55555555555556,4.88888888888889,4.33333333333333,0.222222222222222,1,4.63894293909254,4.71434878574264,5.17894383432858,4.98617716039961,5.93180740533548,4.93711253377874,4.56099450887413,1,5,25,25,4,3,4,42,1,7,4,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,6,16.98,15.09,16.98,16.98,18.87,15.09,0,6,6,7,6,5,8,7,9,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23529411764706,4,2,4.77777777777778,7.77777777777778,7.22222222222222,6.11111111111111,5.55555555555556,6.11111111111111,4.88888888888889,0.222222222222222,0.444444444444444,4.26477370582233,8.21364621466996,7.6432796444368,6.30607902996625,6.0997374205913,5.59968268170018,5.8336295519932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567629041447165,0.463596617819814,0.224385346780663,0.499657528824627,0.139771480613857,0.228141144930425,0.504065729708806,0.200496294607338,0.222913759668437
"4",280,280,280,174,1,8,3,186,1,0,0,8,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,5,6,6,6,6,6,6,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,4,5.33333333333333,7.55555555555556,7.77777777777778,6,6.66666666666667,5.88888888888889,5.88888888888889,0.333333333333333,0.888888888888889,5.03643839334552,6.61741224105606,6.61795543844728,5.45725076498484,5.80361150489279,6.12321617982004,6.31378904055667,1,8,24,25,4,4,3,44,1,7,3,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,7,19.44,19.44,22.22,16.67,11.11,11.11,0,4,6,6,7,5,6,5,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94117647058824,6,2,5,7.77777777777778,7.33333333333333,6,5.55555555555556,6.33333333333333,5.11111111111111,0.222222222222222,0.666666666666667,4.98433119832457,6.96648268338263,6.70179798135243,5.61142594629069,5.06395147265743,6.35085374273504,3.80450042523461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534067796605593,0.427053809747414,0.198268760443489,0.465829425914754,0.122899500242171,0.203436312063723,0.487166264909555,0.17436488251841,0.196930885702246
"5",281,281,281,174,1,8,4,187,0,1,0,1,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,5,5,5,5,7,7,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,1,4.66666666666667,6.11111111111111,6.33333333333333,5.66666666666667,6.11111111111111,5.77777777777778,4.55555555555556,0,0.888888888888889,4.15303154100014,5.57942014838946,5.52377912416081,5.36096238210752,5.61097592721181,5.68010486562755,4.77639541218628,1,1,26,25,2,10,5,42,2,4,1,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,6,16.98,16.98,18.87,16.98,13.21,16.98,1,6,8,7,7,7,10,5,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.88235294117647,3,2,4.77777777777778,7.55555555555556,7.22222222222222,6,5.33333333333333,5.88888888888889,5.11111111111111,0.111111111111111,0.222222222222222,4.32518814456919,7.11343085176825,7.11691417533699,5.71589566642084,5.33703127094642,5.56190837320115,4.55038633025265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282396449129533,0.255103557884729,0.242548665603519,0.18951849044465,0.108129359042019,0.0743382862827625,0.395296766197288,0.162153908616467,0.104507865772128
"6",282,282,282,174,1,8,5,188,0,0,0,10,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,5,5,5,5,5,7,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,2,4.33333333333333,6.44444444444444,6.66666666666667,6.22222222222222,6.66666666666667,5.44444444444444,5.11111111111111,0.111111111111111,0.888888888888889,3.91747771335591,6.77307861382512,6.13319361749407,5.93916567174155,6.23338683504049,5.58375716204971,5.44063087448716,1,10,21,25,2,1,1,46,2,3,1,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,6,15.56,11.11,22.22,15.56,20,15.56,0,4,5,5,5,5,5,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47058823529412,4,2,5,7.88888888888889,7.44444444444444,6.22222222222222,5.55555555555556,6.44444444444444,5.44444444444444,0.222222222222222,0.444444444444444,4.63388073841701,6.22039833276023,6.2245519963357,5.34191877569561,4.71113658152399,6.39862118394188,3.04717912543298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57167992132682,0.564763038646683,0.567822910946699,0.441911056138349,0.314879535427552,0.230262288061437,0.537607538618068,0.575873362710048,0.258612024093249
"7",283,283,283,174,1,8,6,189,0,0,0,4,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,5,5,5,5,5,7,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,4,5.44444444444444,7.44444444444444,7.22222222222222,5.88888888888889,6.66666666666667,5.88888888888889,5.44444444444444,0.333333333333333,0.888888888888889,5.08088765494444,6.60095207786388,6.14840966559884,5.44048955233659,5.97071488011562,6.03688488709652,5.59362394802618,1,4,27,25,6,6,1,42,1,6,2,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,5,16.98,16.98,16.98,16.98,16.98,15.09,0,5,8,7,5,5,4,5,7,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,4.88888888888889,7.55555555555556,7.22222222222222,6.22222222222222,5.55555555555556,6.55555555555556,5.11111111111111,0.222222222222222,0,4.56318744734388,7.3561435434897,6.66016778345386,5.74858330246978,5.57763445034882,6.26173294468723,5.24403549867295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415619531984116,0.382361916383129,0.14479362485144,0.286787328981065,0.0859702137525052,0.125932098716578,0.455132146591533,0.115951276463638,0.132298163452078
"8",284,284,284,174,1,8,7,190,0,0,0,6,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,5,6,6,6,6,6,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,6,6.88888888888889,6.66666666666667,7,8.11111111111111,6.77777777777778,5.77777777777778,6.88888888888889,0.555555555555556,0.888888888888889,6.97530126642383,6.86220113891307,5.87434384633676,7.79486245904525,6.60205001306356,5.72625653054781,7.5054469677631,1,6,25,25,2,1,1,42,2,7,3,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,15.56,20,20,20,13.33,11.11,0,5,8,8,8,4,6,4,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47058823529412,7,2,4.88888888888889,7.55555555555556,7.11111111111111,5.88888888888889,5.66666666666667,6.33333333333333,5.22222222222222,0.222222222222222,0.777777777777778,5.36606618282106,7.19178094891983,7.25523596837274,6.93016320493683,5.79175036390313,6.67330192314418,5.33177072392454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57167992132682,0.564763038646683,0.567822910946699,0.441911056138349,0.314879535427552,0.230262288061437,0.537607538618068,0.575873362710048,0.258612024093249
"9",285,285,285,174,1,8,8,191,0,0,0,2,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,5,6,5,7,7,6,6,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,8,6.66666666666667,7.33333333333333,7.44444444444444,7.22222222222222,7.55555555555556,6.44444444444444,6.66666666666667,0.777777777777778,0.888888888888889,6.46077549813427,6.30386670172912,6.40003078443049,6.6882631542212,6.94186288040689,6.07788894468813,7.30220556782823,1,2,28,25,2,6,1,42,5,4,2,8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,4,20.45,20.45,20.45,18.18,18.18,2.27,0,5,8,7,6,6,8,5,6,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.41176470588235,4,2,4.88888888888889,7.55555555555556,7.22222222222222,6.11111111111111,5.44444444444444,6.11111111111111,5.11111111111111,0.222222222222222,0.444444444444444,4.76546987776374,7.79993454953042,7.24724369113209,6.48269968186983,5.31348663458887,6.02867430930747,5.07174507263258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40376564378896,0.382361916383129,0.374883930940693,0.286787328981065,0.179795830366536,0.125932098716578,0.453388646059027,0.298208095552139,0.14400698106845
"10",286,286,286,174,1,8,9,192,0,0,0,3,29,25,4,1,1,58,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,1,6,5,6,7,7,7,7,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05882352941176,9,6,6.55555555555556,6.66666666666667,7.33333333333333,7.55555555555556,7.11111111111111,7.33333333333333,6.77777777777778,0.555555555555556,0.888888888888889,6.18425884886776,6.19211425856872,6.75043152718111,7.03320390825575,6.69272232894005,6.84051662769678,7.1561977852801,1,3,24,25,2,2,7,97,1,6,2,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,4,19.57,19.57,15.22,17.39,15.22,13.04,0,3,8,8,4,6,3,4,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.88235294117647,2,2,5.11111111111111,7.55555555555556,7.11111111111111,6.33333333333333,5.44444444444444,6.66666666666667,5.22222222222222,0.222222222222222,0.222222222222222,4.45970324143193,7.53409435282403,6.67434634123068,5.78773736167373,5.01569041588183,5.94114657173579,4.74103391361115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538177287325758,0.528096740511291,0.528996216387038,0.408798263023538,0.2838446748354,0.205388882479874,0.520732827449384,0.517474346819297,0.226914241581557
