                 avgDec      avgDecO    avgMatches
iid        -0.145423804  0.123236586 -0.0409411734
id         -0.036766118  0.018730641  0.0162725116
gender               NA           NA            NA
idg        -0.039749855  0.023558658  0.0183620593
condtn     -0.011394719 -0.143491807 -0.1180344585
wave       -0.140275806  0.115606560 -0.0444797534
round      -0.060141672 -0.099441137 -0.0956579338
position   -0.022259674 -0.041371161 -0.0377098566
positin1    0.049469084 -0.054940955  0.0085988445
order      -0.024950623 -0.039792754 -0.0388095654
partner    -0.025666869 -0.039349096 -0.0386007346
pid        -0.144038315  0.125805614 -0.0385799691
match       0.145658940  0.236925469  0.3783740734
int_corr   -0.060299623  0.019404795  0.0077083019
samerace   -0.033675951  0.074923515  0.0272659861
age_o      -0.010241845  0.020915322 -0.0253108543
race_o     -0.045807248  0.031054804  0.0021487120
pf_o_att   -0.044891788  0.033324723 -0.0102810199
pf_o_sin   -0.026495610 -0.010061028 -0.0267755908
pf_o_int   -0.007416390 -0.027299079 -0.0076035145
pf_o_fun    0.035406814  0.033762572  0.0554136771
pf_o_amb    0.072922821 -0.037604506  0.0118141973
pf_o_sha    0.009256257 -0.007158264 -0.0075012850
dec_o      -0.115596911  0.455259799  0.2850687954
attr_o     -0.132615269  0.461221453  0.2906425243
sinc_o      0.008122192  0.107162812  0.0785489537
intel_o     0.011593017  0.109788469  0.0848887763
fun_o      -0.082269524  0.363473470  0.2616483527
amb_o      -0.011100804  0.117888055  0.0907903924
shar_o     -0.066213639  0.284033090  0.1963657168
like_o     -0.074225806  0.351813545  0.2345323869
prob_o      0.006690127  0.132924335  0.1184304848
met_o      -0.023004215 -0.013057053 -0.0552868796
age        -0.008268963 -0.067789332 -0.0877244328
field_cd   -0.004758103  0.043276564 -0.0245310249
mn_sat               NA           NA            NA
tuition              NA           NA            NA
race        0.122944055 -0.217922944 -0.1020921132
imprace    -0.232735913 -0.047675903 -0.1542612471
imprelig   -0.103056462 -0.055919507 -0.0439118162
from                 NA           NA            NA
zipcode     0.077431638 -0.023935733  0.0300833143
goal       -0.022629148 -0.015995648 -0.0056547790
date       -0.127112190 -0.264957440 -0.2694082175
go_out      0.056618384 -0.312098052 -0.2384391413
career_c   -0.100783622  0.102538735 -0.0111266026
sports     -0.110659856  0.248091256  0.1072441037
tvsports    0.001848132  0.074541328  0.0371253715
exercise   -0.015931697  0.131763384  0.0962454657
dining     -0.015522227  0.155967498  0.1068128935
museums    -0.064853432 -0.007162138 -0.0388462141
art        -0.046803106  0.033487754  0.0216652799
hiking      0.082778583  0.002699067  0.0535008342
gaming      0.133482811 -0.096132589  0.0032130815
clubbing    0.060586921  0.150258939  0.1146126624
reading     0.120777512 -0.069415280  0.0571137785
tv         -0.013554187 -0.120408616 -0.0953969565
theater     0.030989771 -0.094613481 -0.0765607068
movies     -0.073476117 -0.089473637 -0.1035028953
concerts   -0.033977376  0.001589215  0.0088940645
music      -0.063039420  0.113356918  0.0649826023
shopping   -0.018897644  0.072388955 -0.0105693810
yoga        0.151147223 -0.006195920  0.0943756789
exphappy    0.036713244  0.036712840  0.0531905571
expnum      0.164034557  0.127458363  0.2010637536
attr1_1    -0.107101731  0.268620791  0.0968563181
sinc1_1     0.105527128 -0.282994150 -0.1666138243
intel1_1    0.030045441 -0.066953836  0.0232523942
fun1_1     -0.092256445  0.080210617  0.0722639936
amb1_1      0.062831384 -0.074586874 -0.0307739968
shar1_1     0.111942920 -0.205538634 -0.1115393677
attr4_1    -0.179055344  0.257445339  0.0934668610
sinc4_1     0.005745835 -0.135811152 -0.1542203462
intel4_1   -0.052688223  0.037580137 -0.0127411812
fun4_1     -0.056245693  0.039362537 -0.0027670582
amb4_1     -0.021897606 -0.036769689 -0.0570953215
shar4_1     0.026876898 -0.050472095 -0.0735890710
attr2_1    -0.071162993  0.206588214  0.0859380387
sinc2_1     0.114816716 -0.114685820 -0.0287049043
intel2_1    0.071640087 -0.051217593  0.0491976476
fun2_1     -0.028117938 -0.140105176 -0.1206224890
amb2_1     -0.064605328  0.020518084  0.0257972187
shar2_1     0.079810389 -0.121512112 -0.0828977913
attr3_1    -0.018745716  0.190059521  0.1281887773
sinc3_1     0.020250169 -0.038726427  0.0251257752
fun3_1     -0.010163936  0.244610971  0.2304475338
intel3_1    0.080541377  0.001813439  0.0543253841
amb3_1      0.059341164  0.111653548  0.1353718607
attr5_1    -0.107293690  0.143584275  0.0411007477
sinc5_1    -0.015356109 -0.030756279 -0.0072420630
intel5_1    0.028365330  0.063695424  0.0595150951
fun5_1     -0.122145934  0.194275764  0.1396882174
amb5_1      0.055145667  0.084648975  0.1148638647
dec         0.509767924 -0.129437296  0.1962403367
attr        0.255514644 -0.043269454  0.1159311400
sinc        0.081570732  0.066679414  0.1063841146
intel       0.107034657  0.049935242  0.1080928427
fun         0.137426731  0.041246186  0.1189280144
amb         0.109703688  0.054294460  0.1020265360
shar        0.193573175  0.035679255  0.1351313480
like        0.268408749  0.013442950  0.1547242951
prob        0.189330346  0.143916481  0.1976541260
met         0.114250775 -0.059095288  0.0602979549
match_es    0.362879479  0.028812220  0.2417296543
attr1_s    -0.019615536  0.127318462  0.1109956812
sinc1_s    -0.017157880 -0.050835660 -0.0612887047
intel1_s   -0.123626870 -0.022777763 -0.0097012220
fun1_s     -0.052982338  0.062691094  0.0731805074
amb1_s      0.063010234 -0.125500819 -0.0665401780
shar1_s     0.141749643 -0.230352878 -0.1027616928
attr3_s    -0.098922850  0.064825195 -0.0052873951
sinc3_s     0.073691874 -0.020090197  0.0445769562
intel3_s    0.022247508 -0.022338810 -0.0247452649
fun3_s     -0.116474470  0.125975495  0.0459855625
amb3_s      0.022236993  0.050629692  0.0956392177
satis_2     0.326481280 -0.064858756  0.1249214285
length     -0.027223789  0.119087578  0.0782705829
numdat_2   -0.017839779  0.034638318  0.0044153684
attr7_2    -0.173008047  0.143511172  0.0162421787
sinc7_2     0.057225160 -0.169090539 -0.1442951470
intel7_2    0.128925081 -0.038860890  0.0268324981
fun7_2      0.018664903  0.081869577  0.1251371414
amb7_2      0.120402687 -0.094526600 -0.0436706077
shar7_2     0.010222508 -0.053740786 -0.0639028499
attr1_2    -0.200429215  0.218577680 -0.0111488670
sinc1_2     0.117993480 -0.271286069 -0.1094438104
intel1_2    0.033405320 -0.019455610  0.0648995591
fun1_2      0.008738674  0.090907812  0.1445015619
amb1_2      0.133206164 -0.178964575 -0.0535109532
shar1_2     0.214086166 -0.183990857 -0.0280104406
attr4_2    -0.175414701  0.244833778  0.0830718597
sinc4_2    -0.123888339 -0.081644454 -0.1517531734
intel4_2   -0.077333742 -0.043316284 -0.1257042587
fun4_2     -0.035466813  0.092839263  0.1168607814
amb4_2     -0.007204474 -0.125274335 -0.1551701947
shar4_2     0.058335404 -0.060004155 -0.1123672728
attr2_2    -0.237074124  0.154704996 -0.0650763974
sinc2_2     0.088218872 -0.104027846 -0.0102607217
intel2_2    0.226570980 -0.058452691  0.1083639000
fun2_2      0.088110434 -0.084896803  0.0429302755
amb2_2      0.050988154  0.025754746  0.0716101867
shar2_2     0.083414964 -0.110242875 -0.0689876586
attr3_2    -0.036400607  0.135823798  0.0786378176
sinc3_2     0.043405444 -0.113694190 -0.0528854888
intel3_2    0.069200193 -0.008029874  0.0420797300
fun3_2     -0.051284571  0.224822363  0.2132201642
amb3_2      0.079764316  0.029323837  0.0853617732
attr5_2    -0.113590108  0.137468894  0.0623221709
sinc5_2     0.017012294 -0.084529782 -0.0031537531
intel5_2   -0.045446242  0.042944513  0.0394490866
fun5_2     -0.065159267  0.150734627  0.1201937466
amb5_2     -0.029439111  0.132416095  0.0886777812
you_call    0.050171514  0.117480152  0.1952701714
them_cal    0.073266396  0.117498587  0.2009001733
date_3     -0.038892037  0.158428637  0.1743599474
numdat_3    0.004107812  0.003368198  0.0973285540
num_in_3    0.134084932  0.059160668  0.1944553275
attr1_3    -0.110196062  0.248043611  0.1138442263
sinc1_3     0.039767226 -0.223370969 -0.1513930895
intel1_3   -0.016354570 -0.090322993 -0.0331128394
fun1_3      0.040468873  0.031270894  0.0964445047
amb1_3      0.125130640 -0.171682232 -0.0750603832
shar1_3     0.073987779 -0.137915828 -0.0926294726
attr7_3    -0.148911583  0.223765412  0.0773111165
sinc7_3     0.133435219 -0.209579132 -0.0928445409
intel7_3    0.017851780 -0.051757823 -0.0007067531
fun7_3     -0.022310184  0.030314234  0.0445426393
amb7_3      0.114089703 -0.204705897 -0.1517155618
shar7_3     0.050406049 -0.103706021 -0.0239184468
attr4_3    -0.162812201  0.267431028  0.1012561258
sinc4_3     0.068951712 -0.196079585 -0.1198015485
intel4_3   -0.035591315  0.019560023  0.0389252822
fun4_3     -0.116574765  0.055096633  0.0213329263
amb4_3      0.065098726 -0.171225230 -0.1006081345
shar4_3    -0.053350676 -0.002126783  0.0053390825
attr2_3    -0.138885884  0.219649074  0.0513893886
sinc2_3    -0.062953954  0.014635697 -0.0774879682
intel2_3   -0.067017503  0.111065733  0.1198790949
fun2_3     -0.048749416 -0.002383533  0.0262051751
amb2_3     -0.032211721 -0.009202895  0.0282833863
shar2_3    -0.041745472 -0.169293961 -0.1725435803
attr3_3     0.022888512  0.045453095  0.0634950887
sinc3_3     0.118887460 -0.110249574 -0.0136340320
intel3_3    0.149778546 -0.064974293  0.0717918490
fun3_3      0.020014960  0.073833337  0.0944399102
amb3_3      0.040596113  0.045830689  0.0849728444
attr5_3    -0.076565016  0.114576158  0.0443173675
sinc5_3     0.025477175 -0.057138607 -0.0400196478
intel5_3    0.018267802  0.017017123 -0.0052400344
fun5_3     -0.132640172  0.126371424  0.0451948359
amb5_3     -0.001171520  0.044829249  0.0257041206
avgMatches  0.384960150  0.626167291  1.0000000000
avgDecO    -0.253914164  1.000000000  0.6261672913
avgDec      1.000000000 -0.253914164  0.3849601505



           avgDec avgDecO avgMatches
gender         NA      NA         NA
mn_sat         NA      NA         NA
tuition        NA      NA         NA
race        FALSE    TRUE      FALSE
imprace      TRUE   FALSE      FALSE
from           NA      NA         NA
date        FALSE    TRUE       TRUE
go_out      FALSE    TRUE       TRUE
sinc1_1     FALSE    TRUE      FALSE
shar1_1     FALSE    TRUE      FALSE
shar1_s     FALSE    TRUE      FALSE
sinc1_2     FALSE    TRUE      FALSE
attr2_2      TRUE   FALSE      FALSE
sinc1_3     FALSE    TRUE      FALSE
sinc7_3     FALSE    TRUE      FALSE
avgDecO      TRUE   FALSE      FALSE
avgDec      FALSE    TRUE      FALSE




           avgDec avgDecO avgMatches
iid          -0.1     0.1        0.0
id            0.0     0.0        0.0
gender         NA      NA         NA
idg           0.0     0.0        0.0
condtn        0.0    -0.1       -0.1
wave         -0.1     0.1        0.0
round        -0.1    -0.1       -0.1
position      0.0     0.0        0.0
positin1      0.0    -0.1        0.0
order         0.0     0.0        0.0
partner       0.0     0.0        0.0
pid          -0.1     0.1        0.0
match         0.1     0.2        0.4
int_corr     -0.1     0.0        0.0
samerace      0.0     0.1        0.0
age_o         0.0     0.0        0.0
race_o        0.0     0.0        0.0
pf_o_att      0.0     0.0        0.0
pf_o_sin      0.0     0.0        0.0
pf_o_int      0.0     0.0        0.0
pf_o_fun      0.0     0.0        0.1
pf_o_amb      0.1     0.0        0.0
pf_o_sha      0.0     0.0        0.0
dec_o        -0.1     0.5        0.3
attr_o       -0.1     0.5        0.3
sinc_o        0.0     0.1        0.1
intel_o       0.0     0.1        0.1
fun_o        -0.1     0.4        0.3
amb_o         0.0     0.1        0.1
shar_o       -0.1     0.3        0.2
like_o       -0.1     0.4        0.2
prob_o        0.0     0.1        0.1
met_o         0.0     0.0       -0.1
age           0.0    -0.1       -0.1
field_cd      0.0     0.0        0.0
mn_sat         NA      NA         NA
tuition        NA      NA         NA
race          0.1    -0.2       -0.1
imprace      -0.2     0.0       -0.2
imprelig     -0.1    -0.1        0.0
from           NA      NA         NA
zipcode       0.1     0.0        0.0
goal          0.0     0.0        0.0
date         -0.1    -0.3       -0.3
go_out        0.1    -0.3       -0.2
career_c     -0.1     0.1        0.0
sports       -0.1     0.2        0.1
tvsports      0.0     0.1        0.0
exercise      0.0     0.1        0.1
dining        0.0     0.2        0.1
museums      -0.1     0.0        0.0
art           0.0     0.0        0.0
hiking        0.1     0.0        0.1
gaming        0.1    -0.1        0.0
clubbing      0.1     0.2        0.1
reading       0.1    -0.1        0.1
tv            0.0    -0.1       -0.1
theater       0.0    -0.1       -0.1
movies       -0.1    -0.1       -0.1
concerts      0.0     0.0        0.0
music        -0.1     0.1        0.1
shopping      0.0     0.1        0.0
yoga          0.2     0.0        0.1
exphappy      0.0     0.0        0.1
expnum        0.2     0.1        0.2
attr1_1      -0.1     0.3        0.1
sinc1_1       0.1    -0.3       -0.2
intel1_1      0.0    -0.1        0.0
fun1_1       -0.1     0.1        0.1
amb1_1        0.1    -0.1        0.0
shar1_1       0.1    -0.2       -0.1
attr4_1      -0.2     0.3        0.1
sinc4_1       0.0    -0.1       -0.2
intel4_1     -0.1     0.0        0.0
fun4_1       -0.1     0.0        0.0
amb4_1        0.0     0.0       -0.1
shar4_1       0.0    -0.1       -0.1
attr2_1      -0.1     0.2        0.1
sinc2_1       0.1    -0.1        0.0
intel2_1      0.1    -0.1        0.0
fun2_1        0.0    -0.1       -0.1
amb2_1       -0.1     0.0        0.0
shar2_1       0.1    -0.1       -0.1
attr3_1       0.0     0.2        0.1
sinc3_1       0.0     0.0        0.0
fun3_1        0.0     0.2        0.2
intel3_1      0.1     0.0        0.1
amb3_1        0.1     0.1        0.1
attr5_1      -0.1     0.1        0.0
sinc5_1       0.0     0.0        0.0
intel5_1      0.0     0.1        0.1
fun5_1       -0.1     0.2        0.1
amb5_1        0.1     0.1        0.1
dec           0.5    -0.1        0.2
attr          0.3     0.0        0.1
sinc          0.1     0.1        0.1
intel         0.1     0.0        0.1
fun           0.1     0.0        0.1
amb           0.1     0.1        0.1
shar          0.2     0.0        0.1
like          0.3     0.0        0.2
prob          0.2     0.1        0.2
met           0.1    -0.1        0.1
match_es      0.4     0.0        0.2
attr1_s       0.0     0.1        0.1
sinc1_s       0.0    -0.1       -0.1
intel1_s     -0.1     0.0        0.0
fun1_s       -0.1     0.1        0.1
amb1_s        0.1    -0.1       -0.1
shar1_s       0.1    -0.2       -0.1
attr3_s      -0.1     0.1        0.0
sinc3_s       0.1     0.0        0.0
intel3_s      0.0     0.0        0.0
fun3_s       -0.1     0.1        0.0
amb3_s        0.0     0.1        0.1
satis_2       0.3    -0.1        0.1
length        0.0     0.1        0.1
numdat_2      0.0     0.0        0.0
attr7_2      -0.2     0.1        0.0
sinc7_2       0.1    -0.2       -0.1
intel7_2      0.1     0.0        0.0
fun7_2        0.0     0.1        0.1
amb7_2        0.1    -0.1        0.0
shar7_2       0.0    -0.1       -0.1
attr1_2      -0.2     0.2        0.0
sinc1_2       0.1    -0.3       -0.1
intel1_2      0.0     0.0        0.1
fun1_2        0.0     0.1        0.1
amb1_2        0.1    -0.2       -0.1
shar1_2       0.2    -0.2        0.0
attr4_2      -0.2     0.2        0.1
sinc4_2      -0.1    -0.1       -0.2
intel4_2     -0.1     0.0       -0.1
fun4_2        0.0     0.1        0.1
amb4_2        0.0    -0.1       -0.2
shar4_2       0.1    -0.1       -0.1
attr2_2      -0.2     0.2       -0.1
sinc2_2       0.1    -0.1        0.0
intel2_2      0.2    -0.1        0.1
fun2_2        0.1    -0.1        0.0
amb2_2        0.1     0.0        0.1
shar2_2       0.1    -0.1       -0.1
attr3_2       0.0     0.1        0.1
sinc3_2       0.0    -0.1       -0.1
intel3_2      0.1     0.0        0.0
fun3_2       -0.1     0.2        0.2
amb3_2        0.1     0.0        0.1
attr5_2      -0.1     0.1        0.1
sinc5_2       0.0    -0.1        0.0
intel5_2      0.0     0.0        0.0
fun5_2       -0.1     0.2        0.1
amb5_2        0.0     0.1        0.1
you_call      0.1     0.1        0.2
them_cal      0.1     0.1        0.2
date_3        0.0     0.2        0.2
numdat_3      0.0     0.0        0.1
num_in_3      0.1     0.1        0.2
attr1_3      -0.1     0.2        0.1
sinc1_3       0.0    -0.2       -0.2
intel1_3      0.0    -0.1        0.0
fun1_3        0.0     0.0        0.1
amb1_3        0.1    -0.2       -0.1
shar1_3       0.1    -0.1       -0.1
attr7_3      -0.1     0.2        0.1
sinc7_3       0.1    -0.2       -0.1
intel7_3      0.0    -0.1        0.0
fun7_3        0.0     0.0        0.0
amb7_3        0.1    -0.2       -0.2
shar7_3       0.1    -0.1        0.0
attr4_3      -0.2     0.3        0.1
sinc4_3       0.1    -0.2       -0.1
intel4_3      0.0     0.0        0.0
fun4_3       -0.1     0.1        0.0
amb4_3        0.1    -0.2       -0.1
shar4_3      -0.1     0.0        0.0
attr2_3      -0.1     0.2        0.1
sinc2_3      -0.1     0.0       -0.1
