"","X","iid","id","gender","wave","order","partner","pid","match","samerace","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sportsAct","tvsportsAct","exerciseAct","diningAct","museumsAct","artAct","hikingAct","gamingAct","clubbingAct","readingAct","tvAct","theaterAct","moviesAct","concertsAct","musicAct","shoppingAct","yogaAct","exphappy","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","dec","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","prob","met","goalMeetNew","goalFunNight","goalOther","goalGetDate","goalSeriousRel","goalSayDid","date7","date5","date3","date4","date6","date1","date2","raceAsian","raceWhite","rateOther","raceLatino","raceBlack","go_out1","go_out4","go_out2","go_out3","go_out7","go_out5","go_out6","fieldLaw","fieldMath","fieldPoliSci","fieldBusiness","fieldEngin","fieldAcademia","fieldSocialSci","fieldSocialWork","fieldUndecided","fieldMedicine","fieldHistReligPhil","fieldEnglish","fieldScience","fieldFilm","fieldLanguages","fieldArts","fieldArch","fieldOther","careerCreative","careerLaw","careerInternational","careerAcademic","careerFinance","careerUndecided","careerEngineer","careerPsychology","careerMedicine","careerSports","careerSocialWork","careerRealEstate","careerOther","careerSpeech","careerArch","careerPolitics","careerJourn","activityAvg","sportsActAdj","tvsportsActAdj","exerciseActAdj","diningActAdj","museumsActAdj","artActAdj","hikingActAdj","gamingActAdj","clubbingActAdj","readingActAdj","tvActAdj","theaterActAdj","moviesActAdj","concertsActAdj","musicActAdj","shoppingActAdj","yogaActAdj","raterDecSum","decSum","attrRatingAvg","sincRatingAvg","intelRatingAvg","funRatingAvg","ambRatingAvg","sharRatingAvg","likeRatingAvg","decAvg","raterDecAvg","attrRatingGuess","sincRatingGuess","intelRatingGuess","funRatingGuess","ambRatingGuess","sharRatingGuess","likeRatingGuess"
"101",1,1,1,0,1,4,1,11,0,0,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58823529411765,3.41176470588235,-3.58823529411765,2.41176470588235,3.41176470588235,-4.58823529411765,-4.58823529411765,-0.588235294117647,-4.58823529411765,-0.588235294117647,0.411764705882353,3.41176470588235,-4.58823529411765,4.41176470588235,4.41176470588235,3.41176470588235,2.41176470588235,-4.58823529411765,8,4,5.55555555555556,8.77777777777778,8.33333333333333,5.22222222222222,6.44444444444444,5.33333333333333,6.11111111111111,0.333333333333333,0.777777777777778,4.97079356056543,8.24218314938605,8.32909264906405,4.76656604146996,6.12051685756601,5.54646125514524,5.91216296344554
"102",11,2,2,0,1,10,1,11,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82352941176471,-2.82352941176471,-3.82352941176471,1.17647058823529,4.17647058823529,2.17647058823529,0.176470588235294,-2.82352941176471,-0.823529411764706,2.17647058823529,4.17647058823529,-4.82352941176471,3.17647058823529,2.17647058823529,1.17647058823529,2.17647058823529,-2.82352941176471,-4.82352941176471,4,4,5.66666666666667,9,8.22222222222222,5.55555555555556,6.44444444444444,5.55555555555556,6.22222222222222,0.444444444444444,0.444444444444444,5.93118362538392,8.72167367932002,8.34728199198429,5.75629373472322,6.89638667859672,5.79574842224551,6.17564488765532
"103",21,3,3,0,1,6,1,11,0,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,0,7,9,10,7,8,9,8,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41176470588235,-3.41176470588235,1.58823529411765,0.588235294117647,1.58823529411765,-1.41176470588235,-1.41176470588235,1.58823529411765,-2.41176470588235,-1.41176470588235,0.588235294117647,1.58823529411765,0.588235294117647,0.588235294117647,0.588235294117647,-1.41176470588235,1.58823529411765,0.588235294117647,0,4,5.44444444444444,8.77777777777778,8,5.22222222222222,6.22222222222222,4.88888888888889,6,0.444444444444444,0,6.38093955493767,9.53528287037247,7.9549682214013,5.9661726575122,7.02718732328298,3.17090264747405,6.37670764866309
"104",31,4,4,0,1,3,1,11,0,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,0,4,10,8,5,8,7,6,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94117647058824,-4.94117647058824,-4.94117647058824,0.0588235294117645,1.05882352941176,0.0588235294117645,1.05882352941176,1.05882352941176,-0.941176470588236,1.05882352941176,1.05882352941176,1.05882352941176,3.05882352941176,1.05882352941176,2.05882352941176,1.05882352941176,-4.94117647058824,2.05882352941176,3,4,5.77777777777778,8.66666666666667,8.22222222222222,5.44444444444444,6.22222222222222,5.11111111111111,6.22222222222222,0.444444444444444,0.333333333333333,5.80540589712323,9.64799560332617,8.56338630710841,6.34309083192262,6.60645697516393,5.22792954701263,5.7740124679663
"105",41,5,5,0,1,1,1,11,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,0,5,8,8,2,2,2,7,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23529411764706,0.764705882352941,-2.23529411764706,0.764705882352941,0.764705882352941,-0.235294117647059,1.76470588235294,-0.235294117647059,-0.235294117647059,1.76470588235294,-0.235294117647059,1.76470588235294,-0.235294117647059,-0.235294117647059,-3.23529411764706,0.764705882352941,1.76470588235294,-3.23529411764706,6,4,5.66666666666667,8.88888888888889,8.22222222222222,5.77777777777778,6.88888888888889,5.66666666666667,6.11111111111111,0.444444444444444,0.666666666666667,5.42753627858636,7.53821072602141,7.44727296206771,5.831058221658,6.46352273092099,6.40897467458423,6.1882376665418
"106",51,6,6,0,1,5,1,11,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88235294117647,4.11764705882353,2.11764705882353,3.11764705882353,1.11764705882353,2.11764705882353,1.11764705882353,3.11764705882353,-3.88235294117647,0.117647058823529,3.11764705882353,-3.88235294117647,-0.882352941176471,0.117647058823529,0.117647058823529,-1.88235294117647,-4.88235294117647,-4.88235294117647,6,4,5.55555555555556,8.77777777777778,8.33333333333333,5.33333333333333,6.33333333333333,5.22222222222222,6.22222222222222,0.333333333333333,0.555555555555556,4.70459183697738,8.46069808345617,8.24329853518839,4.66096722490021,5.38158929646886,3.44936094802135,5.93497245401566
"107",61,7,7,0,1,2,1,11,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,4,8,8,5,7,4,7,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70588235294118,-2.70588235294118,-4.70588235294118,-3.70588235294118,2.29411764705882,2.29411764705882,2.29411764705882,-5.70588235294118,-4.70588235294118,0.294117647058823,0.294117647058823,0.294117647058823,2.29411764705882,2.29411764705882,2.29411764705882,2.29411764705882,2.29411764705882,2.29411764705882,4,4,5.77777777777778,8.88888888888889,8.22222222222222,5.44444444444444,6.33333333333333,5.44444444444444,6.11111111111111,0.444444444444444,0.444444444444444,4.96403591735997,8.3396496548761,7.93489043827215,4.57607402445814,7.0303252278196,5.05289820449484,5.76556794028894
"108",71,8,8,0,1,7,1,11,0,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,5,4,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47058823529412,-4.47058823529412,-4.47058823529412,-5.47058823529412,3.52941176470588,2.52941176470588,2.52941176470588,-3.47058823529412,-4.47058823529412,3.52941176470588,1.52941176470588,3.52941176470588,2.52941176470588,2.52941176470588,-0.470588235294118,-0.470588235294118,1.52941176470588,-0.470588235294118,10,4,5.66666666666667,8.88888888888889,8.33333333333333,5.55555555555556,6.33333333333333,5.33333333333333,6.44444444444444,0.333333333333333,1,5.83334645448128,8.5531883668576,7.83063293642684,5.39757531517319,6.06750239717206,5.9438355884956,6.15882822769997
"109",81,9,9,0,1,8,1,11,0,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35294117647059,-2.35294117647059,-3.35294117647059,-5.35294117647059,1.64705882352941,-0.352941176470588,0.647058823529412,-4.35294117647059,-4.35294117647059,3.64705882352941,1.64705882352941,1.64705882352941,3.64705882352941,3.64705882352941,2.64705882352941,2.64705882352941,1.64705882352941,-3.35294117647059,10,4,5.33333333333333,8.66666666666667,8.11111111111111,5.11111111111111,6.33333333333333,5.22222222222222,6.33333333333333,0.333333333333333,1,5.59446775366035,8.87730633316921,7.85323205802583,5.29300251190949,6.12309368509715,5.29534768005797,6.62980095030274
"110",91,10,10,0,1,9,1,11,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,6,10,10,6,6,6,6,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82352941176471,2.17647058823529,2.17647058823529,2.17647058823529,0.176470588235294,-0.823529411764706,-0.823529411764706,0.176470588235294,-5.82352941176471,0.176470588235294,1.17647058823529,-1.82352941176471,-0.823529411764706,0.176470588235294,0.176470588235294,1.17647058823529,0.176470588235294,0.176470588235294,4,4,5.55555555555556,8.66666666666667,8,5.33333333333333,6.44444444444444,5.22222222222222,6.22222222222222,0.444444444444444,0.444444444444444,5.43433029298229,9.07201379985442,7.52480656002773,4.06382450260349,6.03426202794567,5.48047077727664,7.05403309096149
