"","X.1","X","iid","id","gender","wave","round","order","partner","pid","match","sameRace","age","fieldCD","race","imprace","imprelig","goal","date","goOut","careerCD","exphappy","expnum","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","decRating","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","probRating","met","youCall","themCall","dateAfter","numDatesAfter","careerLaw","careerAcad","careerPsych","careerMed","careerEngin","careerCreative","careerCorp","careerRealEstate","careerIntAffairs","careerUnd","careerSpeech","careerPolitics","careerSports","careerOther","careerJourn","careerArch","date3","date4","date5","date6","date7","fieldLaw","fieldMath","fieldSocialSci","fieldMed","fieldEngin","fieldEng","fieldHum","fieldBusEconFin","fieldEducAca","fieldSci","fieldSocWork","fieldUnd","fieldPoliSci","fieldFilm","fieldArts","fieldLang","fieldArch","fieldOther","goalfunNight","goalMeetNew","goalGetDate","goalSerRel","goalSayDid","goalOther","goOut1","goOut2","goOut3","goOut4","raceBlack","raceWhite","raceLatino","raceAsian","raceNativeAmer","raceOther","surIID","surPID","decRaterSum","decRateeSum","decWaveSum","decRaterAvg","decRateeAvg","decWaveAvg","decRaterAvgAdj","attrRateeAvg","sincRateeAvg","intelRateeAvg","funRateeAvg","ambRateeAvg","sharRateeAvg","likeRateeAvg","probRateeAvg","dec","combRateeAvg","combRatingExcGuess","combRatingIncGuess","combRatingInc","combRatingExc"
"1",1,201,21,1,0,2,16,6,1,40,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,0.0871438460381012,8,7,9,5,7,1.63897866695599,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29,55,2,4,80,-1.94591014905531,-0.806087669376791,0.292763157894737,-0.167763157894737,-1.26596487968605,0.258223684210527,-0.550986842105263,0.03125,-0.432565789473684,-0.0526315789473681,-0.728375939625012,-0.0592105263157894,0,-0.933476162895952,-0.0631965300118852,-0.158113800994809,0.338580714063416,0.863061256497045
"2",2,202,21,1,0,2,16,7,2,41,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,-0.417712899430197,8,7,5,9,5,0.576417812248414,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,25,54,2,0,80,-1.94591014905531,-0.806087669376791,0.256578947368421,-0.131578947368421,-1.45768639782544,0.0838815789473681,-0.194078947368421,-1.32730263157895,0.0148026315789469,-0.868421052631579,-1.09420817257918,-0.55921052631579,0,-1.11932741326047,-0.0654236909534514,-0.182333522663196,-0.183891819328541,0.0793524564091085
"3",3,203,21,1,0,2,16,8,3,42,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1.40722290104071,1.0968573369747,9,8,8,7,6,1.63897866695599,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,32,52,2,4,80,-2.70805020110221,-0.806087669376791,0.256578947368421,-0.194078947368421,-0.407510320853004,-0.557565789473685,-0.126644736842105,0.0180921052631575,0.347039473684211,-0.0296052631578947,-0.321206731195798,-0.509868421052631,1,-0.511601573808531,0.027059360403827,-0.17194941810774,1.38101963499046,1.36791800196534
"4",4,204,21,1,0,2,16,11,4,43,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,-0.417712899430197,8,8,4,9,3,0.0451373848946272,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,31,45,2,3,80,-1.94591014905531,-0.806087669376791,0.273026315789474,-0.148026315789474,-0.974090329682817,-0.129934210526316,0.00822368421052655,-0.879934210526316,-0.297697368421052,-0.661184210526316,-0.982598338796551,-0.231907894736842,0,-0.920925445952053,0.0100708408580055,-0.0992342287091832,-0.360985295113137,-0.186287757267785
"5",5,205,21,1,0,2,16,15,5,44,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,0.5920005915064,7,8,5,7,2,0.0451373848946272,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,38,50,2,4,80,-1.94591014905531,-0.806087669376791,0.292763157894737,-0.167763157894737,-0.51338638310908,0.376644736842105,-0.228618421052632,-1.10690789473684,-0.820723684210526,-0.674342105263158,-0.866854807466419,-0.115131578947368,0,-0.728776286650763,-0.043080645645691,-0.179314541633283,-0.0244141314676045,0.318568988200513
"6",6,206,21,1,0,2,16,2,6,45,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,0.0871438460381012,8,8,6,8,4,-0.48614304245916,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,22,55,2,4,80,-1.94591014905531,-0.806087669376791,0.286184210526316,-0.161184210526316,-0.107051225261436,-0.261513157894737,-0.00822368421052655,-1.96875,-0.0378289473684204,-0.838815789473684,-0.604365013199869,-0.578947368421053,0,-0.505834635946032,0.0994688731527943,-0.0787035651220137,-0.369793189074966,-0.199499598210529
"7",7,207,21,1,0,2,16,5,7,46,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,0.0871438460381012,8,8,6,8,5,1.1076982396022,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,32,54,2,9,80,-1.94591014905531,1.37979792658433,0.226973684210526,-0.101973684210526,2.27659093309833,0.458881578947368,0.450657894736842,1.26480263157895,-0.152960526315789,0.740131578947369,1.63196536000018,0.712171052631579,0,1.76278473989428,0.732246591534605,0.28974377725052,0.161487238278821,0.597421042820151
"8",8,208,21,1,0,2,16,12,8,47,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,-0.922569644898496,7,7,4,7,3,-0.48614304245916,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,22,48,2,1,80,-1.94591014905531,-0.806087669376791,0.302631578947368,-0.177631578947368,-1.16008881742998,-0.550986842105263,-0.333881578947368,0.0509868421052628,-0.527960526315789,-0.269736842105263,-0.374944799313358,0.101973684210527,0,-0.780373762040042,0.231200194909133,0.00933639149763161,-0.706364352720499,-0.704356343678828
"9",9,209,21,1,0,2,16,16,9,48,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,-0.71038037080384,0.5920005915064,7,7,5,6,3,0.0451373848946272,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29,53,2,8,80,-1.94591014905531,1.14615801181023,0.289473684210526,-0.164473684210526,1.26933758406755,-0.182565789473684,-0.995065789473684,1.43585526315789,-0.804276315789474,0.253289473684211,0.850696523521787,0.202302631578947,0,1.08873070646652,0.488678743916122,0.107609270220855,-0.0244141314676045,0.318568988200513
"10",10,210,21,1,0,2,16,3,10,49,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1.40722290104071,1.601714082443,9,10,9,9,8,1.63897866695599,5,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,28,50,2,8,80,-2.70805020110221,0.643419700403521,0.276315789473684,-0.213815789473684,0.677003938472749,0.532894736842105,0.493421052631579,1.16611842105263,0.414473684210527,0.733552631578947,0.894100347770586,0.394736842105263,1,0.738174662215619,0.533711925232204,0.306810797882044,1.54930521681323,1.62034637469949
