"","dec","attr","sinc","intel","fun","amb","shar","like"
"GuessAdjM",49,20,2,5,10,6,4,17
"GuessAdjW",-7,-7,-2,3,-5,-1,-6,-3
"GuessM",49,29,3,5,11,5,4,20
"GuessW",-8,-6,0,5,-3,0,-5,-2
"RateeAvgAdjM",35,34,9,15,28,21,24,34
"RateeAvgAdjW",-14,-13,-3,-2,-14,-6,-14,-13
"RateeAvgM",35,35,9,16,27,20,25,32
"RateeAvgW",-16,-12,1,3,-11,-1,-10,-10
"RaterAvgAdjM",40,19,5,4,8,6,13,21
"RaterAvgAdjW",-6,-2,5,4,1,2,0,-1
"RaterAvgM",40,20,5,5,7,7,15,21
"RaterAvgW",-5,-1,7,6,3,5,2,1
"RatingM",100,51,20,22,40,20,36,55
"RatingW",-3,-3,9,8,3,4,4,5
"WaveAvgM",5,4,0,5,-4,2,6,-1
"WaveAvgW",-7,3,5,7,5,6,5,6
