"","dec","attr","sinc","intel","fun","amb","shar","like"
"GuessAdjM",13,6,1,0,3,1,1,4
"GuessAdjW",22,14,1,7,14,3,5,8
"GuessM",13,6,1,0,3,1,1,5
"GuessW",21,14,1,7,15,3,5,7
"RateeAvgAdjM",16,15,8,11,14,13,12,16
"RateeAvgAdjW",17,18,4,6,16,10,15,16
"RateeAvgM",15,14,8,10,13,12,12,15
"RateeAvgW",15,17,4,6,16,9,13,15
"RaterAvgAdjM",6,1,2,2,0,1,2,5
"RaterAvgAdjW",17,7,10,8,10,5,10,9
"RaterAvgM",5,1,3,2,0,1,2,5
"RaterAvgW",16,7,10,9,10,5,10,8
"RatingM",44,22,14,15,22,12,18,27
"RatingW",60,29,19,19,30,14,28,33
"WaveAvgM",-2,0,1,0,-1,0,2,-2
"WaveAvgW",-5,-3,2,1,0,2,0,-3
