"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal 6","goal 1","goal 2","goal 5","goal 4","goal 3","date 7","date 6","date 1","date 5","date 4","date 3","date 2","race 4","race 1","race 2","race 3","race 6","go_out 4","go_out 2","go_out 1","go_out 3","go_out 7","go_out 5","go_out 6","field_cd 5","field_cd 9","field_cd 3","field_cd 11","field_cd 1","field_cd 8","field_cd 2","field_cd 12","field_cd 4","field_cd 6","field_cd 10","field_cd 7","field_cd 14","field_cd 13","field_cd 16","field_cd 15","field_cd 18","career_c 10","career_c 5","career_c 3","career_c 9","career_c 6","career_c 1","career_c 2","career_c 7","career_c 4","career_c 11","career_c 8","career_c 15","career_c 13","activityAvg","raterCount","rateeCount","match Own Sum","match Partner Sum"
"505",40,1,1,2,19,8,1,21,0,-0.23,1,1,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,3,10,10,6,4,7,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"506",40,1,1,2,19,10,2,22,0,0.29,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,4,10,8,8,6,4,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"507",40,1,1,2,19,6,3,23,0,0.22,1,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,5,4,3,7,4,3,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"508",40,1,1,2,19,13,4,24,0,-0.31,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,5,10,9,9,8,5,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"509",40,1,1,2,19,15,5,25,0,-0.12,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,8,10,9,9,8,4,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"510",40,1,1,2,19,16,6,26,0,-0.38,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,8,9,9,8,7,4,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"511",40,1,1,2,19,7,7,27,0,-0.13,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,9,8,6,8,7,5,5,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"512",40,1,1,2,19,4,8,28,0,0.22,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,8,8,7,8,7,3,6,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"514",40,1,1,2,19,18,10,30,0,0.19,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,6,6,8,7,8,4,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
"515",40,1,1,2,19,11,11,31,0,-0.19,0,2,25,8,25,4,9,6,42,2,7,7,6,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2,25,20,25,20,10,0,40,0,30,20,10,0,3,10,8,9,0,7,5,4,4,8,3,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.11764705882353,15,15,0,0
