"","iid","pid","wave","id.x","gender.x","round.x","order.x","partner.x","match.x","int_corr.x","samerace.x","met_o.x","age.x","field_cd.x","tuition.x","race.x","imprace.x","imprelig.x","income.x","goal.x","date.x","go_out.x","career_c.x","sports.x","tvsports.x","exercise.x","dining.x","museums.x","art.x","hiking.x","gaming.x","clubbing.x","reading.x","tv.x","theater.x","movies.x","concerts.x","music.x","shopping.x","yoga.x","exphappy.x","expnum.x","attr1_1.x","sinc1_1.x","intel1_1.x","fun1_1.x","amb1_1.x","shar1_1.x","attr2_1.x","sinc2_1.x","intel2_1.x","fun2_1.x","amb2_1.x","shar2_1.x","attr3_1.x","sinc3_1.x","fun3_1.x","intel3_1.x","dec.x","attr.x","sinc.x","intel.x","fun.x","amb.x","shar.x","like.x","prob.x","met.x","goal 6.x","goal 1.x","goal 2.x","goal 5.x","goal 4.x","goal 3.x","date 7.x","date 6.x","date 1.x","date 5.x","date 4.x","date 3.x","date 2.x","race 4.x","race 1.x","race 2.x","race 3.x","race 6.x","go_out 4.x","go_out 2.x","go_out 1.x","go_out 3.x","go_out 7.x","go_out 5.x","go_out 6.x","field_cd 5.x","field_cd 9.x","field_cd 3.x","field_cd 11.x","field_cd 1.x","field_cd 8.x","field_cd 2.x","field_cd 12.x","field_cd 4.x","field_cd 6.x","field_cd 10.x","field_cd 7.x","field_cd 14.x","field_cd 13.x","field_cd 16.x","field_cd 15.x","field_cd 18.x","career_c 10.x","career_c 5.x","career_c 3.x","career_c 9.x","career_c 6.x","career_c 1.x","career_c 2.x","career_c 7.x","career_c 4.x","career_c 11.x","career_c 8.x","career_c 15.x","career_c 13.x","activityAvg.x","raterCount.x","rateeCount.x","match Own Sum.x","match Partner Sum.x","id.y","gender.y","round.y","order.y","partner.y","match.y","int_corr.y","samerace.y","met_o.y","age.y","field_cd.y","tuition.y","race.y","imprace.y","imprelig.y","income.y","goal.y","date.y","go_out.y","career_c.y","sports.y","tvsports.y","exercise.y","dining.y","museums.y","art.y","hiking.y","gaming.y","clubbing.y","reading.y","tv.y","theater.y","movies.y","concerts.y","music.y","shopping.y","yoga.y","exphappy.y","expnum.y","attr1_1.y","sinc1_1.y","intel1_1.y","fun1_1.y","amb1_1.y","shar1_1.y","attr2_1.y","sinc2_1.y","intel2_1.y","fun2_1.y","amb2_1.y","shar2_1.y","attr3_1.y","sinc3_1.y","fun3_1.y","intel3_1.y","dec.y","attr.y","sinc.y","intel.y","fun.y","amb.y","shar.y","like.y","prob.y","met.y","goal 6.y","goal 1.y","goal 2.y","goal 5.y","goal 4.y","goal 3.y","date 7.y","date 6.y","date 1.y","date 5.y","date 4.y","date 3.y","date 2.y","race 4.y","race 1.y","race 2.y","race 3.y","race 6.y","go_out 4.y","go_out 2.y","go_out 1.y","go_out 3.y","go_out 7.y","go_out 5.y","go_out 6.y","field_cd 5.y","field_cd 9.y","field_cd 3.y","field_cd 11.y","field_cd 1.y","field_cd 8.y","field_cd 2.y","field_cd 12.y","field_cd 4.y","field_cd 6.y","field_cd 10.y","field_cd 7.y","field_cd 14.y","field_cd 13.y","field_cd 16.y","field_cd 15.y","field_cd 18.y","career_c 10.y","career_c 5.y","career_c 3.y","career_c 9.y","career_c 6.y","career_c 1.y","career_c 2.y","career_c 7.y","career_c 4.y","career_c 11.y","career_c 8.y","career_c 15.y","career_c 13.y","activityAvg.y","raterCount.y","rateeCount.y","match Own Sum.y","match Partner Sum.y"
"1",142,158,7,1,0,16,1,1,0,0.35,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,0,4,5,6,4,6,4,4,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,1,1,16,1,1,0,0.35,1,2,23,10,25,2,3,4,37,4,6,2,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,7,4,19.05,19.05,19.05,19.05,9.52,14.29,15.22,19.57,19.57,19.57,8.7,17.39,7,9,7,9,1,10,8,8,7,7,5,9,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.35294117647059,15,15,0,0
"2",142,159,7,1,0,16,2,2,1,-0.57,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,5,10,9,8,7,5,9,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,2,1,16,2,1,1,-0.57,1,2,28,10,25,2,7,2,42,1,6,2,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,4,15.91,20.45,20.45,20.45,11.36,11.36,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,1,7,7,7,6,7,4,7,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.52941176470588,15,15,0,0
"3",142,160,7,1,0,16,7,3,0,-0.15,0,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,8,8,8,8,10,6,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,3,1,16,7,1,0,-0.15,0,2,29,8,25,1,3,4,28,2,5,2,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,4,16,18,18,18,14,16,14.29,20.41,16.33,16.33,18.37,14.29,8,8,9,8,0,6,9,8,7,9,6,6,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.52941176470588,15,15,0,0
"4",142,161,7,1,0,16,3,4,0,-0.01,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,10,10,9,8,8,7,9,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,4,1,16,3,1,0,-0.01,1,2,22,10,25,2,6,2,53,2,4,2,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,4,16.67,18.75,18.75,18.75,18.75,8.33,14.55,18.18,18.18,16.36,18.18,14.55,8,7,9,9,0,8,7,8,7,6,4,7,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.82352941176471,15,15,0,0
"5",142,162,7,1,0,16,12,5,0,-0.24,0,1,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,8,10,9,8,8,5,8,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,5,1,16,12,1,0,-0.24,0,1,27,10,25,4,1,1,42,2,6,2,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,4,15.22,15.22,19.57,17.39,13.04,19.57,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,0,6,7,7,6,6,5,5,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.58823529411765,15,15,0,0
"6",142,163,7,1,0,16,15,6,0,-0.43,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,6,8,8,8,8,7,8,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,6,1,16,15,1,0,-0.43,1,1,26,9,25,2,1,1,56,4,3,3,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,4,12,20,20,20,16,12,14.29,14.29,14.29,23.81,14.29,19.05,7,8,8,9,0,7,7,7,5,6,5,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.76470588235294,15,15,0,0
"7",142,164,7,1,0,16,6,7,0,-0.59,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,8,9,10,8,5,6,7,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,7,1,16,6,1,0,-0.59,1,2,27,7,25,2,1,1,31,1,6,2,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,4,20.51,23.08,20.51,17.95,2.56,15.38,21.88,15.63,15.63,15.63,15.63,15.63,7,9,6,9,0,8,7,9,7,7,6,6,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.41176470588235,15,15,0,0
"8",142,165,7,1,0,16,14,8,0,-0.4,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,0,6,8,7,6,5,7,7,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,8,1,16,14,1,0,-0.4,1,2,30,13,25,2,4,7,52,3,6,3,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,4,16.67,12.5,20.83,18.75,12.5,18.75,9.09,20.45,18.18,20.45,13.64,18.18,8,6,7,9,0,8,8,9,7,8,6,6,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.64705882352941,15,15,0,0
"9",142,166,7,1,0,16,8,9,0,-0.21,0,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,0,8,6,6,8,9,5,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,9,1,16,8,1,0,-0.21,0,2,26,8,25,6,1,9,80,5,5,2,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,4,27.78,19.44,19.44,27.78,2.78,2.78,21.74,15.22,15.22,15.22,17.39,15.22,7,7,7,7,0,4,4,8,4,7,6,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.76470588235294,15,15,0,0
"10",142,167,7,1,0,16,16,10,1,-0.63,1,2,24,13,25,2,1,4,50,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,4,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,1,8,8,8,8,8,8,8,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.17647058823529,14,15,0,0,10,1,16,16,1,1,-0.63,1,2,23,10,25,2,1,1,47,2,6,2,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,4,18.6,13.95,18.6,16.28,16.28,16.28,13.64,18.18,20.45,13.64,15.91,18.18,6,7,7,7,1,7,6,7,6,4,4,6,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.76470588235294,15,15,0,0
