"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal 6","goal 1","goal 2","goal 5","goal 4","goal 3","date 7","date 6","date 1","date 5","date 4","date 3","date 2","race 4","race 1","race 2","race 3","race 6","go_out 4","go_out 2","go_out 1","go_out 3","go_out 7","go_out 5","go_out 6","field_cd 5","field_cd 9","field_cd 3","field_cd 11","field_cd 1","field_cd 8","field_cd 2","field_cd 12","field_cd 4","field_cd 6","field_cd 10","field_cd 7","field_cd 14","field_cd 13","field_cd 16","field_cd 15","field_cd 18","career_c 10","career_c 5","career_c 3","career_c 9","career_c 6","career_c 1","career_c 2","career_c 7","career_c 4","career_c 11","career_c 8","career_c 15","career_c 13","activityAvg","raterCount","rateeCount","match Own Sum","match Partner Sum"
"201",21,1,0,2,16,6,1,40,0,-0.23,1,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,6,8,7,9,5,7,9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"202",21,1,0,2,16,7,2,41,0,-0.3,1,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,5,8,7,5,9,5,7,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"204",21,1,0,2,16,11,4,43,0,0.43,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,5,8,8,4,9,3,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"205",21,1,0,2,16,15,5,44,0,-0.4,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,7,7,8,5,7,2,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"206",21,1,0,2,16,2,6,45,0,0.01,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,6,8,8,6,8,4,5,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"207",21,1,0,2,16,5,7,46,0,0.22,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,6,8,8,6,8,5,8,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"208",21,1,0,2,16,12,8,47,0,-0.06,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,4,7,7,4,7,3,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"209",21,1,0,2,16,16,9,48,0,-0.08,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,7,7,7,5,6,3,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"210",21,1,0,2,16,3,10,49,0,0.28,1,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,1,9,9,10,9,9,8,9,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
"211",21,1,0,2,16,4,11,50,0,0.27,0,2,21,5,25,4,8,10,42,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,0,5,7,7,7,7,6,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.05882352941176,14,15,0,0
