"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal 2","goal 1","goal 6","goal 3","goal 4","goal 5","date 7","date 5","date 3","date 4","date 6","date 1","date 2","race 4","race 2","race 6","race 3","race 1","go_out 1","go_out 4","go_out 2","go_out 3","go_out 7","go_out 5","go_out 6","field_cd 1","field_cd 2","field_cd 13","field_cd 8","field_cd 5","field_cd 9","field_cd 3","field_cd 11","field_cd 12","field_cd 4","field_cd 7","field_cd 6","field_cd 10","field_cd 14","field_cd 16","field_cd 15","field_cd 17","field_cd 18","career_c 6","career_c 1","career_c 9","career_c 2","career_c 7","career_c 10","career_c 5","career_c 3","career_c 4","career_c 14","career_c 11","career_c 8","career_c 15","career_c 12","career_c 17","career_c 13","career_c 16","activityAvg","raterCount","rateeCount","matchOwnSum","matchPartnerSum","decOwnSum","decPartnerSum","attrOwnSum","attrPartnerSum","sincOwnSum","sincPartnerSum","intelOwnSum","intelPartnerSum","funOwnSum","funPartnerSum","ambOwnSum","ambPartnerSum","sharOwnSum","sharPartnerSum","likeOwnSum","likePartnerSum","probOwnSum","probPartnerSum","metOwnSum","metPartnerSum","metOwnMean","metPartnerMean","metOwnMeanExc","metPartnerMeanExc","tvsportsAdj","exerciseAdj","diningAdj","museumsAdj","artAdj","hikingAdj","gamingAdj","clubbingAdj","readingAdj","tvAdj","theaterAdj","moviesAdj","concertsAdj","musicAdj","shoppingAdj","yogaAdj"
"1",1,1,0,1,10,4,1,11,0,0.14,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,6,9,7,7,6,5,7,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,1.5,1.9,1.44,1.89,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"2",1,1,0,1,10,3,2,12,0,0.54,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,7,8,7,8,5,6,7,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1.5,1.5,1.56,1.56,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"4",1,1,0,1,10,5,4,14,1,0.61,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,7,6,8,7,6,8,7,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,1.5,1.6,1.44,1.56,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"5",1,1,0,1,10,7,5,15,1,0.21,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,5,6,7,7,6,6,6,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1.5,1.5,1.44,1.44,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"6",1,1,0,1,10,6,6,16,0,0.25,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,0,4,9,7,4,6,4,6,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,1.5,1.8,1.44,1.78,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"7",1,1,0,1,10,1,7,17,0,0.34,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,7,6,7,4,6,7,6,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1.5,2,1.44,2,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"9",1,1,0,1,10,8,9,19,1,0.28,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,7,6,8,9,8,8,7,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1.5,2,1.44,2,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"10",1,1,0,1,10,9,10,20,0,-0.36,0,2,21,1,25,4,2,4,69,2,7,1,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,1,5,6,6,8,10,8,6,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1.5,2,1.44,2,-3.06,2.94,3.94,-4.06,-4.06,-0.06,-4.06,-0.06,0.94,3.94,-4.06,4.94,4.94,3.94,2.94,-4.06
"11",2,2,0,1,10,10,1,11,0,0.29,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,0,5,7,8,4,6,3,6,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1.9,1.9,1.89,1.89,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"12",2,2,0,1,10,9,2,12,0,0.18,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,0,8,5,6,6,9,6,7,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,1.9,1.5,1.89,1.44,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
