"","basicAtLeastOneM","basicAtLeastOneW","basicAvgNumM","basicAvgNumW","basicMInTopN","basicWInTopN","basicFracFoundM","basicFracFoundW","finalAtLeastOneM","finalAtLeastOneW","finalAvgNumM","finalAvgNumW","finalMInTopN","finalWInTopN","finalFracFoundM","finalFracFoundW"
"1",35,30,0.35,0.3,20,18,12,11,42,33,0.42,0.33,29,20,15,12
"2",48,45,0.56,0.6,32,34,20,21,54,45,0.69,0.63,43,38,24,22
"3",56,53,0.78,0.8,41,44,27,28,61,56,0.98,0.88,57,51,34,31
"4",60,60,0.98,0.99,50,53,34,35,64,61,1.19,1.09,64,60,42,39
"5",61,64,1.19,1.17,55,60,42,41,66,63,1.37,1.2,69,65,48,43
"6",63,66,1.42,1.33,63,61,50,47,70,66,1.57,1.43,74,74,55,51
"7",70,68,1.61,1.47,66,67,57,52,73,70,1.73,1.63,79,79,61,58
"8",73,71,1.82,1.63,70,71,64,58,76,72,1.89,1.81,83,83,67,64
"9",76,71,1.93,1.76,77,77,68,63,79,75,2.07,1.96,89,86,73,70
"10",78,72,2.07,1.89,84,80,73,67,80,75,2.19,2.08,92,89,77,74
"11",79,72,2.18,1.98,85,82,77,71,80,76,2.3,2.21,94,91,81,79
"12",80,74,2.32,2.13,88,83,82,76,83,77,2.45,2.32,98,91,86,83
"13",81,76,2.43,2.32,89,86,86,83,84,78,2.57,2.42,98,93,90,86
"14",81,77,2.56,2.44,94,88,90,87,84,79,2.64,2.53,98,95,93,90
